id,rada_id,nreg,convocation,full_name,first_name,second_name,last_name,short_name,date_begin,date_end,district_text,district_name,district_num,region_id,region_name,party_text,party_id,party_name,num_in_party,anketa_data,anketa_url,photo,photo_id,gender,birthday,education,college,academic,old_profession,old_post,old_member,address,resignation_text
15733,12,mp-d21_1_skl8,8,Івахів Степан Петрович,Степан,Петрович,Івахів,С.П.,27.11.2014,,"Виборчий округ № 21, Волинська область",Виборчий округ № 21,21,7,Волинська область,безпартійний,50,Безпартійний,,"народився 24 сiчня 1968 року в селі Андріївка Буського району Львівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в селі Липини Луцького району Волинської області, судимість відсутня, самовисування.",http://itd.rada.gov.ua/mps/info/page/15733,http://static.rada.gov.ua/dep_img8/d21_1.jpg,d21_1,1,24.01.1968,вища,,,народний депутат України,,так,в селі Липини Луцького району Волинської області,
18055,375,mp-but6_skl8,8,Івченко Вадим Євгенович,Вадим,Євгенович,Івченко,В.Є.,27.11.2014,,"Багатомандатний загальнодержавний виборчий округ, політична партія Всеукраїнське об'єднання ""Батьківщина"" /№ у списку - 6/",,,,,безпартійний,50,Безпартійний,6,"народився 29 сiчня 1980 року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови – керівник виконавчої дирекції, Всеукраїнська асоціація сільських та селищних рад, безпартійний, проживає в місті Біла Церква Київської області, судимість відсутня, включений до виборчого списку під № 6.",http://itd.rada.gov.ua/mps/info/page/18055,http://static.rada.gov.ua/dep_img8/but6.jpg,but6,1,29.01.1980,вища,,,заступник голови – керівник виконавчої дирекції,Всеукраїнська асоціація сільських та селищних рад,ні,в місті Біла Церква Київської області,
15837,173,mp-d215_1_skl8,8,Іллєнко Андрій Юрійович,Андрій,Юрійович,Іллєнко,А.Ю.,27.11.2014,,"Виборчий округ № 215, м. Київ",Виборчий округ № 215,215,85,м. Київ,"член політичної партії Всеукраїнське об’єднання ""Свобода""",117,"Політична партія Всеукраїнське об'єднання ""Свобода""",,"народився 24 червня 1987 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Києві, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",http://itd.rada.gov.ua/mps/info/page/15837,http://static.rada.gov.ua/dep_img8/d215_1.jpg,d215_1,1,24.06.1987,вища,,,народний депутат України,,так,в місті Києві,
15794,93,mp-d128_1_skl8,8,Ільюк Артем Олександрович,Артем,Олександрович,Ільюк,А.О.,27.11.2014,,"Виборчий округ № 128, Миколаївська область",Виборчий округ № 128,128,48,Миколаївська область,безпартійний,50,Безпартійний,,"народився 17 квiтня 1979 року в місті Миколаєві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Миколаєві, судимість відсутня, самовисування.",http://itd.rada.gov.ua/mps/info/page/15794,http://static.rada.gov.ua/dep_img8/d128_1.jpg,d128_1,1,17.04.1979,вища,,,народний депутат України,,так,в місті Миколаєві,
15672,261,mp-bp23_skl8,8,Іонова Марія Миколаївна,Марія,Миколаївна,Іонова,М.М.,27.11.2014,,"Багатомандатний загальнодержавний виборчий округ, ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"" /№ у списку - 23/",,,,,безпартійнa,50,Безпартійний,23,"народилася 31 травня 1978 року, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійнa, проживає в місті Києві, судимість відсутня, включена до виборчого списку під № 23.",http://itd.rada.gov.ua/mps/info/page/15672,http://static.rada.gov.ua/dep_img8/bp23.jpg,bp23,2,31.05.1978,вища,,,народний депутат України,,так,в місті Києві,
793,80,mp-d112_1_skl8,8,Іоффе Юлій Якович,Юлій,Якович,Іоффе,Ю.Я.,27.11.2014,,"Виборчий округ № 112, Луганська область",Виборчий округ № 112,112,43,Луганська область,безпартійний,50,Безпартійний,,"народився 10 грудня 1940 року в місті Луганську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",http://itd.rada.gov.ua/mps/info/page/793,http://static.rada.gov.ua/dep_img8/d112_1.jpg,d112_1,1,10.12.1940,вища,,,народний депутат України,,так,в місті Києві,
18092,111,mp-d148_1_skl8,8,Іщейкін Костянтин Євгенович,Костянтин,Євгенович,Іщейкін,К.Є.,27.11.2014,,"Виборчий округ № 148, Полтавська область",Виборчий округ № 148,148,53,Полтавська область,безпартійний,50,Безпартійний,,"народився 11 вересня 1975 року в місті Полтаві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, декан факультету, завідувач кафедри внутрішніх хвороб та медицини невідкладних станів з дерматологією та венерологією, ВДНЗ України ""Українська медична стоматологічна академія"", безпартійний, проживає в місті Полтаві, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".",http://itd.rada.gov.ua/mps/info/page/18092,http://static.rada.gov.ua/dep_img8/d148_1.jpg,d148_1,1,11.09.1975,вища,"ВДНЗ України ""Українська медична стоматологічна академія""",завідувач кафедри внутрішніх хвороб та медицини невідкладних станів з дерматологією та венерологією,декан факультету,,ні,в місті Полтаві,
15685,272,mp-bp37_skl8,8,Іщенко Валерій Олександрович,Валерій,Олександрович,Іщенко,В.О.,27.11.2014,,"Багатомандатний загальнодержавний виборчий округ, ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"" /№ у списку - 37/",,,,,безпартійний,50,Безпартійний,37,"народився 11 листопада 1973 року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Києві, судимість відсутня, включений до виборчого списку під № 37.",http://itd.rada.gov.ua/mps/info/page/15685,http://static.rada.gov.ua/dep_img8/bp37.jpg,bp37,1,11.11.1973,вища,,,народний депутат України,,так,в місті Києві,
2524,386,mp-but17_skl8,8,Абдуллін Олександр Рафкатович,Олександр,Рафкатович,Абдуллін,О.Р.,27.11.2014,,"Багатомандатний загальнодержавний виборчий округ, політична партія Всеукраїнське об'єднання ""Батьківщина"" /№ у списку - 17/",,,,,"член політичної партії Всеукраїнське об’єднання ""Батьківщина""",17,"Політична партія Всеукраїнське об'єднання ""Батьківщина""",17,"народився 29 червня 1962 року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Києві, судимість відсутня, включений до виборчого списку під № 17.",http://itd.rada.gov.ua/mps/info/page/2524,http://static.rada.gov.ua/dep_img8/but17.jpg,but17,1,29.06.1962,вища,,,народний депутат України,,так,в місті Києві,
15650,187,mp-nf6_skl8,8,Аваков Арсен Борисович,Арсен,Борисович,Аваков,А.Б.,27.11.2014,02.12.2014,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""НАРОДНИЙ ФРОНТ"" /№ у списку - 6/",,,,,безпартійний,50,Безпартійний,6,"народився 2 сiчня 1964 року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Міністр внутрішніх справ України, безпартійний, проживає в місті Харкові, судимість відсутня, включений до виборчого списку під № 6.",http://itd.rada.gov.ua/mps/info/page/15650,http://static.rada.gov.ua/dep_img8/nf6.jpg,nf6,1,02.01.1964,вища,,,Міністр внутрішніх справ України,,ні,в місті Харкові,НДУ Особиста письмова заява про складення повноважень
15669,279,mp-bp44_skl8,8,Агафонова Наталія Володимирівна,Наталія,Володимирівна,Агафонова,Н.В.,27.11.2014,,"Багатомандатний загальнодержавний виборчий округ, ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"" /№ у списку - 44/",,,,,безпартійнa,50,Безпартійний,44,"народилася 19 вересня 1977 року, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійнa, проживає в місті Києві, судимість відсутня, включена до виборчого списку під № 44.",http://itd.rada.gov.ua/mps/info/page/15669,http://static.rada.gov.ua/dep_img8/bp44.jpg,bp44,2,19.09.1977,вища,,,народний депутат України,,так,в місті Києві,
17993,288,mp-bp55_skl8,8,Алєксєєв Сергій Олегович,Сергій,Олегович,Алєксєєв,С.О.,27.11.2014,,"Багатомандатний загальнодержавний виборчий округ, ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"" /№ у списку - 55/",,,,,безпартійний,50,Безпартійний,55,"народився 9 лютого 1977 року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Юридична колегія ""Алєксєєв, Боярчуков та партнери"", безпартійний, проживає в місті Києві, судимість відсутня, включений до виборчого списку під № 55.",http://itd.rada.gov.ua/mps/info/page/17993,http://static.rada.gov.ua/dep_img8/bp55.jpg,bp55,1,09.02.1977,вища,,,директор,"ТОВ ""Юридична колегія ""Алєксєєв, Боярчуков та партнери""",ні,в місті Києві,
16067,238,mp-nf64_skl8,8,Алексєєв Ігор Сергійович,Ігор,Сергійович,Алексєєв,І.С.,27.11.2014,,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""НАРОДНИЙ ФРОНТ"" /№ у списку - 64/",,,,,"член Політичної партії ""НАРОДНИЙ ФРОНТ""",211,"Політична партія ""НАРОДНИЙ ФРОНТ""",64,"народився 23 квiтня 1986 року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник Міністра юстиції України – керівник апарату, член Політичної партії ""НАРОДНИЙ ФРОНТ"", проживає в місті Києві, судимість відсутня, включений до виборчого списку під № 64.",http://itd.rada.gov.ua/mps/info/page/16067,http://static.rada.gov.ua/dep_img8/nf64.jpg,nf64,1,23.04.1986,вища,,,заступник Міністра юстиції України – керівник апарату,,ні,в місті Києві,
12290,368,mp-rp21_skl8,8,Амельченко Василь Васильович,Василь,Васильович,Амельченко,В.В.,27.11.2014,,"Багатомандатний загальнодержавний виборчий округ, Радикальна Партія Олега Ляшка /№ у списку - 21/",,,,,член Радикальної Партії Олега Ляшка,206,Фракція Радикальної партії Олега Ляшка,21,"народився 28 листопада 1962 року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, помічник-консультант народного депутата України, член Радикальної Партії Олега Ляшка, проживає в місті Чернігові, судимість відсутня, включений до виборчого списку під № 21.",http://itd.rada.gov.ua/mps/info/page/12290,http://static.rada.gov.ua/dep_img8/rp21.jpg,rp21,1,28.11.1962,вища,,,помічник-консультант народного депутата України,,ні,в місті Чернігові,
15839,180,mp-d222_1_skl8,8,Андрієвський Дмитро Йосипович,Дмитро,Йосипович,Андрієвський,Д.Й.,27.11.2014,,"Виборчий округ № 222, м. Київ",Виборчий округ № 222,222,85,м. Київ,безпартійний,50,Безпартійний,,"народився 6 сiчня 1967 року в селі Ольга Ольгинського району Приморського краю, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Києві, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".",http://itd.rada.gov.ua/mps/info/page/15839,http://static.rada.gov.ua/dep_img8/d222_1.jpg,d222_1,1,06.01.1967,вища,,,народний депутат України,,так,в місті Києві,
17983,274,mp-bp39_skl8,8,Антонищак Андрій Федорович,Андрій,Федорович,Антонищак,А.Ф.,27.11.2014,,"Багатомандатний загальнодержавний виборчий округ, ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"" /№ у списку - 39/",,,,,безпартійний,50,Безпартійний,39,"народився 23 червня 1969 року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Новий Розділ Львівської області, судимість відсутня, включений до виборчого списку під № 39.",http://itd.rada.gov.ua/mps/info/page/17983,http://static.rada.gov.ua/dep_img8/bp39.jpg,bp39,1,23.06.1969,вища,,,фізична особа – підприємець,,ні,в місті Новий Розділ Львівської області,
11118,176,mp-d218_1_skl8,8,Ар'єв Володимир Ігорович,Володимир,Ігорович,Ар'єв,В.І.,27.11.2014,,"Виборчий округ № 218, м. Київ",Виборчий округ № 218,218,85,м. Київ,"член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",210,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",,"народився 31 березня 1975 року в місті Києві, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"", проживає в місті Києві, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".",http://itd.rada.gov.ua/mps/info/page/11118,http://static.rada.gov.ua/dep_img8/d218_1.jpg,d218_1,1,31.03.1975,вища,,,народний депутат України,,так,в місті Києві,
18058,40,mp-d64_1_skl8,8,Арешонков Володимир Юрійович,Володимир,Юрійович,Арешонков,В.Ю.,27.11.2014,,"Виборчий округ № 64, Житомирська область",Виборчий округ № 64,64,18,Житомирська область,"член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",210,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",,"народився 17 грудня 1957 року в місті Коростень Житомирської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший заступник голови, Житомирська обласна рада, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"", проживає в місті Коростень Житомирської області, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".",http://itd.rada.gov.ua/mps/info/page/18058,http://static.rada.gov.ua/dep_img8/d64_1.jpg,d64_1,1,17.12.1957,вища,,,перший заступник голови,Житомирська обласна рада,ні,в місті Коростень Житомирської області,
18049,363,mp-rp16_skl8,8,Артеменко Андрій Вікторович,Андрій,Вікторович,Артеменко,А.В.,27.11.2014,16.05.2017,"Багатомандатний загальнодержавний виборчий округ, Радикальна Партія Олега Ляшка /№ у списку - 16/",,,,,безпартійний,50,Безпартійний,16,"народився 14 сiчня 1969 року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник генерального директора, ТОВ ""Глобалбізнесгруп ГМБХ"", безпартійний, проживає в місті Києві, судимість відсутня, включений до виборчого списку під № 16.",http://itd.rada.gov.ua/mps/info/page/18049,http://static.rada.gov.ua/dep_img8/rp16.jpg,rp16,1,14.01.1969,вища,,,заступник генерального директора,"ТОВ ""Глобалбізнесгруп ГМБХ""",ні,в місті Києві,НДУ п.4 частини 2 ст. 81 Конституції України
18059,51,mp-d75_1_skl8,8,Артюшенко Ігор Андрійович,Ігор,Андрійович,Артюшенко,І.А.,27.11.2014,,"Виборчий округ № 75, Запорізька область",Виборчий округ № 75,75,23,Запорізька область,безпартійний,50,Безпартійний,,"народився 21 вересня 1984 року в місті Запоріжжі, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, головний спеціаліст, благодійна організація ""Центральноєвропейський інститут демократичних реформ"", безпартійний, проживає в місті Запоріжжі, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".",http://itd.rada.gov.ua/mps/info/page/18059,http://static.rada.gov.ua/dep_img8/d75_1.jpg,d75_1,1,21.09.1984,вища,,,головний спеціаліст,"благодійна організація ""Центральноєвропейський інститут демократичних реформ""",ні,в місті Запоріжжі,
5584,164,mp-d206_1_skl8,8,Атрошенко Владислав Анатолійович,Владислав,Анатолійович,Атрошенко,В.А.,27.11.2014,28.01.2016,"Виборчий округ № 206, Чернігівська область",Виборчий округ № 206,206,77,Чернігівська область,"член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА""",210,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",,"народився 5 грудня 1968 року в місті Чернігові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"", проживає в місті Чернігові, судимість відсутня, суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".",http://itd.rada.gov.ua/mps/info/page/5584,http://static.rada.gov.ua/dep_img8/d206_1.jpg,d206_1,1,05.12.1968,вища,,,народний депутат України,,так,в місті Чернігові,НДУ Особиста письмова заява про складення повноважень
18065,175,mp-d217_1_skl8,8,Білецький Андрій Євгенійович,Андрій,Євгенійович,Білецький,А.Є.,27.11.2014,,"Виборчий округ № 217, м. Київ",Виборчий округ № 217,217,85,м. Київ,безпартійний,50,Безпартійний,,"народився 5 серпня 1979 року в місті Харкові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, командир, полк патрульної служби міліції особливого призначення ""Азов"" ГУ МВС України в Київській області, безпартійний, проживає в місті Харкові, судимість відсутня, самовисування.",http://itd.rada.gov.ua/mps/info/page/18065,http://static.rada.gov.ua/dep_img8/d217_1.jpg,d217_1,1,05.08.1979,вища,,,командир,"полк патрульної служби міліції особливого призначення ""Азов"" ГУ МВС України в Київській області",ні,в місті Харкові,
8723,330,mp-ob5_skl8,8,Білий Олексій Петрович,Олексій,Петрович,Білий,О.П.,27.11.2014,,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""Опозиційний блок"" /№ у списку - 5/",,,,,безпартійний,50,Безпартійний,5,"народився 1 травня 1961 року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Києві, судимість відсутня, включений до виборчого списку під № 5.",http://itd.rada.gov.ua/mps/info/page/8723,http://static.rada.gov.ua/dep_img8/ob5.jpg,ob5,1,01.05.1961,вища,,,народний депутат України,,так,в місті Києві,
3471,140,mp-d180_1_skl8,8,Біловол Олександр Миколайович,Олександр,Миколайович,Біловол,О.М.,27.11.2014,,"Виборчий округ № 180, Харківська область",Виборчий округ № 180,180,63,Харківська область,безпартійний,50,Безпартійний,,"народився 11 сiчня 1962 року в селі Мурафа Краснокутського району Харківської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, заступник голови Комітету Верховної Ради України з питань охорони здоров’я, безпартійний, проживає в місті Харкові, судимість відсутня, самовисування.",http://itd.rada.gov.ua/mps/info/page/3471,http://static.rada.gov.ua/dep_img8/d180_1.jpg,d180_1,1,11.01.1962,вища,,,народний депутат України,заступник голови Комітету Верховної Ради України з питань охорони здоров’я,так,в місті Харкові,
5503,470,mp-bp80_skl8,8,Білозір Оксана Володимирівна,Оксана,Володимирівна,Білозір,О.В.,17.05.2016,,"Багатомандатний загальнодержавний виборчий округ, ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"" /№ у списку - 80/",,,,,безпартійнa,50,Безпартійний,80,"народилася 30 травня 1957 року, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, голова, громадська організація ""Всеукраїнське об’єднання жінок-депутатів"", безпартійнa, проживає в місті Києві, судимість відсутня, включена до виборчого списку під № 80.",http://itd.rada.gov.ua/mps/info/page/5503,http://static.rada.gov.ua/dep_img8/bp80.jpg,bp80,2,30.05.1957,вища,,,голова,"громадська організація ""Всеукраїнське об’єднання жінок-депутатів""",ні,в місті Києві,
