id,rada_id,nreg,convocation,full_name,first_name,second_name,last_name,short_name,date_begin,date_end,district_text,party_id,party_name,num_in_party,anketa_data,anketa_url,photo,photo_id,gender,birthday,education
5539,9713,mp-reg218_skl6,6,Ісаєв Леонід Олексійович,Леонід,Олексійович,Ісаєв,Л.О.,01.06.2010,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 218/",94,Партія регіонів,218,"член Партії регіонів,<br>освіта вища,<br>народний депутат України V скликання,<br>проживає в місті Києві",http://itd.rada.gov.ua/mps/info/expage/5539/7,http://static.rada.gov.ua/dep_img6/reg218.jpg,reg218,1,17.04.1937,Вища
2524,9584,mp-but49_skl6,6,Абдуллін Олександр Рафкатович,Олександр,Рафкатович,Абдуллін,О.Р.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, ""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об’єднання ""Батьківщина"", Українська соціал-демократична партія , партія  ""Реформи і порядок"" /№ у списку - 49/",183,"""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія, партія ""Реформи і порядок""",49,"член партії Всеукраїнське об’єднання ""Батьківщина"",<br>освіта вища,<br>тимчасово не працює,<br>проживає в місті Києві",http://itd.rada.gov.ua/mps/info/expage/2524/7,http://static.rada.gov.ua/dep_img6/but49.jpg,but49,1,29.06.1962,Вища
805,9224,mp-reg6_skl6,6,Азаров Микола Янович,Микола,Янович,Азаров,М.Я.,23.11.2007,11.03.2010,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 6/",94,Партія регіонів,6,"член Партії регіонів,<br>освіта вища,<br>Перший віце-прем’єр-міністр України,<br>Міністр фінансів України,<br>проживає в місті Києві",http://itd.rada.gov.ua/mps/info/expage/805/7,http://static.rada.gov.ua/dep_img6/reg6.jpg,reg6,1,17.12.1947,Вища
11095,9271,mp-reg63_skl6,6,Акімова Ірина Михайлівна,Ірина,Михайлівна,Акімова,І.М.,23.11.2007,12.03.2010,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 63/",94,Партія регіонів,63,"безпартійна ,<br>освіта вища,<br>генеральний директор аналітичного центру ""Бюро Економічних та Соціальних технологій"",<br>проживає в місті Києві",http://itd.rada.gov.ua/mps/info/expage/11095/7,http://static.rada.gov.ua/dep_img6/reg63.jpg,reg63,2,26.04.1960,Вища
5457,9202,mp-kpu10_skl6,6,Алексєєв Ігор Вікторович,Ігор,Вікторович,Алексєєв,І.В.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Комуністична партія України /№ у списку - 10/",5,Комуністична партія України,10,"член Комуністичної партії України,<br>освіта вища,<br>народний депутат України V скликання,<br>голова підкомітету Комітету Верховної Ради України у закордонних справах,<br>проживає в місті Києві",http://itd.rada.gov.ua/mps/info/expage/5457/7,http://static.rada.gov.ua/dep_img6/kpu10.jpg,kpu10,1,10.01.1960,Вища
2110,9338,mp-kpu19_skl6,6,Александровська Алла Олександрівна,Алла,Олександрівна,Александровська,А.О.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Комуністична партія України /№ у списку - 19/",5,Комуністична партія України,19,"член Комуністичної партії України,<br>освіта вища,<br>народний депутат України V скликання,<br>секретар Комітету Верховної Ради України з питань бюджету,<br>проживає в місті Харкові",http://itd.rada.gov.ua/mps/info/expage/2110/7,http://static.rada.gov.ua/dep_img6/kpu19.jpg,kpu19,2,07.12.1948,Вища
8688,9715,mp-reg219_skl6,6,Андрос Сергій Олександрович,Сергій,Олександрович,Андрос,С.О.,15.02.2011,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 219/",94,Партія регіонів,219,"член Партії регіонів,<br>освіта вища,<br>народний депутат України V скликання,<br>проживає в місті Чернігові",http://itd.rada.gov.ua/mps/info/expage/8688/7,http://static.rada.gov.ua/dep_img6/reg219.jpg,reg219,1,11.01.1962,Вища
11118,9614,mp-nuns10_skl6,6,Ар'єв Володимир Ігорович,Володимир,Ігорович,Ар'єв,В.І.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Блок ""НАША УКРАЇНА – НАРОДНА САМООБОРОНА"": Народний Союз ""Наша Україна"", Політична партія ""Вперед, Україно!"", Народний Рух України, Українська Народна Партія, Українська республіканська партія ""Собор"" , Партія Християнсько-Демократичний Союз, Європейська партія України, Громадянська партія ""ПОРА"", Партія захисників Вітчизни /№ у списку - 10/",184,"Блок ""НАША УКРАЇНА – НАРОДНА САМООБОРОНА"": Народний Союз ""Наша Україна"", Політична партія ""Вперед, Україно!"", Народний Рух України, Українська Народна Партія, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз, Європейська партія України, Громадянська партія ""ПОРА"", Партія захисників Вітчизни",10,"безпартійний ,<br>освіта вища,<br>директор ТОВ ""Студія ""Зміна"",<br>проживає в  місті Києві",http://itd.rada.gov.ua/mps/info/expage/11118/7,http://static.rada.gov.ua/dep_img6/nuns10.jpg,nuns10,1,31.03.1975,Вища
8717,9277,mp-nuns63_skl6,6,Аржевітін Станіслав Михайлович,Станіслав,Михайлович,Аржевітін,С.М.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Блок ""НАША УКРАЇНА – НАРОДНА САМООБОРОНА"": Народний Союз ""Наша Україна"", Політична партія ""Вперед, Україно!"", Народний Рух України, Українська Народна Партія, Українська республіканська партія ""Собор"" , Партія Християнсько-Демократичний Союз, Європейська партія України, Громадянська партія ""ПОРА"", Партія захисників Вітчизни /№ у списку - 63/",184,"Блок ""НАША УКРАЇНА – НАРОДНА САМООБОРОНА"": Народний Союз ""Наша Україна"", Політична партія ""Вперед, Україно!"", Народний Рух України, Українська Народна Партія, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз, Європейська партія України, Громадянська партія ""ПОРА"", Партія захисників Вітчизни",63,"член Народного Союзу ""Наша Україна"",<br>освіта вища,<br>тимчасово не працює,<br>проживає в  місті Києві",http://itd.rada.gov.ua/mps/info/expage/8717/7,http://static.rada.gov.ua/dep_img6/nuns63.jpg,nuns63,1,14.06.1961,Вища
8718,9579,mp-reg71_skl6,6,Аркаллаєв Нуруліслам Гаджиєвич,Нуруліслам,Гаджиєвич,Аркаллаєв,Н.Г.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 71/",94,Партія регіонів,71,"член Партії регіонів,<br>освіта вища,<br>народний депутат України V скликання,<br> проживає в місті Донецьку",http://itd.rada.gov.ua/mps/info/expage/8718/7,http://static.rada.gov.ua/dep_img6/reg71.jpg,reg71,1,19.01.1961,Вища
11149,9463,mp-but106_skl6,6,Арутюнов Гарегін Рафаелович,Гарегін,Рафаелович,Арутюнов,Г.Р.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, ""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об’єднання ""Батьківщина"", Українська соціал-демократична партія , партія  ""Реформи і порядок"" /№ у списку - 106/",183,"""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія, партія ""Реформи і порядок""",106,"член партії Всеукраїнське об’єднання ""Батьківщина"",<br>освіта вища,<br>підприємець,<br>проживає в місті Дніпропетровську",http://itd.rada.gov.ua/mps/info/expage/11149/7,http://static.rada.gov.ua/dep_img6/but106.jpg,but106,1,29.12.1964,Вища
8719,9263,mp-reg7_skl6,6,Ахметов Рінат Леонідович,Рінат,Леонідович,Ахметов,Р.Л.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 7/",94,Партія регіонів,7,"член Партії регіонів,<br>освіта вища,<br>народний депутат України,<br>проживає в місті Донецьку",http://itd.rada.gov.ua/mps/info/expage/8719/7,http://static.rada.gov.ua/dep_img6/reg7.jpg,reg7,1,21.09.1966,Вища
10427,9728,mp-reg229_skl6,6,Білаш Борис Федорович,Борис,Федорович,Білаш,Б.Ф.,13.03.2012,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 229/",94,Партія регіонів,229,"член Партії регіонів,<br>освіта вища,<br>народний депутат України V скликання,<br>проживає в місті Донецьку",http://itd.rada.gov.ua/mps/info/expage/10427/7,http://static.rada.gov.ua/dep_img6/reg229.jpg,reg229,1,01.08.1941,Вища
8723,9372,mp-reg33_skl6,6,Білий Олексій Петрович,Олексій,Петрович,Білий,О.П.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 33/",94,Партія регіонів,33,"член Партії регіонів,<br>освіта вища,<br>народний депутат України V скликання,<br>проживає в місті Києві",http://itd.rada.gov.ua/mps/info/expage/8723/7,http://static.rada.gov.ua/dep_img6/reg33.jpg,reg33,1,01.05.1961,Вища
5503,9237,mp-nuns44_skl6,6,Білозір Оксана Володимирівна,Оксана,Володимирівна,Білозір,О.В.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Блок ""НАША УКРАЇНА – НАРОДНА САМООБОРОНА"": Народний Союз ""Наша Україна"", Політична партія ""Вперед, Україно!"", Народний Рух України, Українська Народна Партія, Українська республіканська партія ""Собор"" , Партія Християнсько-Демократичний Союз, Європейська партія України, Громадянська партія ""ПОРА"", Партія захисників Вітчизни /№ у списку - 44/",184,"Блок ""НАША УКРАЇНА – НАРОДНА САМООБОРОНА"": Народний Союз ""Наша Україна"", Політична партія ""Вперед, Україно!"", Народний Рух України, Українська Народна Партія, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз, Європейська партія України, Громадянська партія ""ПОРА"", Партія захисників Вітчизни",44,"член Народного Союзу ""Наша Україна"",<br>освіта вища,<br>професор кафедри естрадного співу  Київського національного університету культури і мистецтв ,<br>проживає в  місті Києві",http://itd.rada.gov.ua/mps/info/expage/5503/7,http://static.rada.gov.ua/dep_img6/nuns44.jpg,nuns44,2,30.05.1957,Вища
2083,9312,mp-but11_skl6,6,Білорус Олег Григорович,Олег,Григорович,Білорус,О.Г.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, ""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об’єднання ""Батьківщина"", Українська соціал-демократична партія , партія  ""Реформи і порядок"" /№ у списку - 11/",183,"""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія, партія ""Реформи і порядок""",11,"член партії Всеукраїнське об’єднання ""Батьківщина"",<br>освіта вища,<br>пенсіонер,<br>проживає в місті Києві",http://itd.rada.gov.ua/mps/info/expage/2083/7,http://static.rada.gov.ua/dep_img6/but11.jpg,but11,1,14.10.1939,Вища
4403,9222,mp-but112_skl6,6,Бірюк Лев Васильович,Лев,Васильович,Бірюк,Л.В.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, ""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об’єднання ""Батьківщина"", Українська соціал-демократична партія , партія  ""Реформи і порядок"" /№ у списку - 112/",183,"""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія, партія ""Реформи і порядок""",112,"член партії Всеукраїнське об’єднання ""Батьківщина"",<br>освіта вища,<br>пенсіонер,<br>проживає в місті Хмельницькому",http://itd.rada.gov.ua/mps/info/expage/4403/7,http://static.rada.gov.ua/dep_img6/but112.jpg,but112,1,31.05.1946,Вища
11152,9260,mp-but109_skl6,6,Бабаєв Олег Мейданович,Олег,Мейданович,Бабаєв,О.М.,23.11.2007,04.02.2011,"Багатомандатний загальнодержавний виборчий округ, ""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об’єднання ""Батьківщина"", Українська соціал-демократична партія , партія  ""Реформи і порядок"" /№ у списку - 109/",183,"""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія, партія ""Реформи і порядок""",109,"член партії Всеукраїнське об’єднання ""Батьківщина"",<br>освіта вища,<br>президент ТОВ ""Футбольний клуб ""Ворскла"" в місті Полтаві,<br>проживає в місті Кременчук Полтавської області",http://itd.rada.gov.ua/mps/info/expage/11152/7,http://static.rada.gov.ua/dep_img6/but109.jpg,but109,1,21.10.1965,Вища
4427,9331,mp-but144_skl6,6,Бабенко Валерій Борисович,Валерій,Борисович,Бабенко,В.Б.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, ""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об’єднання ""Батьківщина"", Українська соціал-демократична партія , партія  ""Реформи і порядок"" /№ у списку - 144/",183,"""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія, партія ""Реформи і порядок""",144,"член партії Всеукраїнське об’єднання ""Батьківщина"",<br>освіта вища,<br>помічник Першого заступника Секретаря Ради національної безпеки і оборони України,<br>проживає в місті Києві",http://itd.rada.gov.ua/mps/info/expage/4427/7,http://static.rada.gov.ua/dep_img6/but144.jpg,but144,1,02.02.1964,Вища
2337,9560,mp-kpu13_skl6,6,Бабурін Олексій Васильович,Олексій,Васильович,Бабурін,О.В.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Комуністична партія України /№ у списку - 13/",5,Комуністична партія України,13,"член Комуністичної партії України,<br>освіта вища,<br>народний депутат України V скликання,<br>секретар Комітету Верховної Ради України з питань транспорту і зв’язку,<br>проживає в місті Запоріжжі",http://itd.rada.gov.ua/mps/info/expage/2337/7,http://static.rada.gov.ua/dep_img6/kpu13.jpg,kpu13,1,11.01.1949,Вища
5424,9585,mp-but45_skl6,6,Баграєв Микола Георгійович,Микола,Георгійович,Баграєв,М.Г.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, ""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об’єднання ""Батьківщина"", Українська соціал-демократична партія , партія  ""Реформи і порядок"" /№ у списку - 45/",183,"""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія, партія ""Реформи і порядок""",45,"член партії Всеукраїнське об’єднання ""Батьківщина"",<br>освіта вища,<br>президент ЗАТ ""Таврійські ігри"",<br>проживає в місті Києві",http://itd.rada.gov.ua/mps/info/expage/5424/7,http://static.rada.gov.ua/dep_img6/but45.jpg,but45,1,19.06.1964,Вища
11151,9368,mp-bvl6_skl6,6,Баранов Валерій Олексійович,Валерій,Олексійович,Баранов,В.О.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, ""Блок Литвина"" (Народна Партія, Трудова партія України) /№ у списку - 6/",185,"""Блок Литвина"" (Народна Партія, Трудова партія України)",6,"член Народної Партії,<br>освіта вища,<br>Бердянський міський голова,<br>проживає в місті Бердянськ Запорізької області",http://itd.rada.gov.ua/mps/info/expage/11151/7,http://static.rada.gov.ua/dep_img6/bvl6.jpg,bvl6,1,19.04.1957,Вища
6033,9725,mp-reg228_skl6,6,Баранов-Мохорт Сергій Миколайович,Сергій,Миколайович,Баранов-Мохорт,С.М.,31.05.2011,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 228/",94,Партія регіонів,228,"член Партії регіонів,<br>освіта вища,<br>заступник директора ТОВ ""ПРО-ЛАЙН ГРУП"",<br>проживає в місті Києві",http://itd.rada.gov.ua/mps/info/expage/6033/7,http://static.rada.gov.ua/dep_img6/reg228.jpg,reg228,1,03.09.1968,Вища
9776,9293,mp-but154_skl6,6,Барвіненко Віталій Дмитрович,Віталій,Дмитрович,Барвіненко,В.Д.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, ""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об’єднання ""Батьківщина"", Українська соціал-демократична партія , партія  ""Реформи і порядок"" /№ у списку - 154/",183,"""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія, партія ""Реформи і порядок""",154,"член партії Всеукраїнське об’єднання ""Батьківщина"",<br>освіта вища,<br>голова Одеської обласної організації партії Всеукраїнське об’єднання ""Батьківщина"",<br>проживає в місті Одесі",http://itd.rada.gov.ua/mps/info/expage/9776/7,http://static.rada.gov.ua/dep_img6/but154.jpg,but154,1,03.06.1981,Вища
5520,9255,mp-reg23_skl6,6,Бахтеєва Тетяна Дмитрівна,Тетяна,Дмитрівна,Бахтеєва,Т.Д.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 23/",94,Партія регіонів,23,"член Партії регіонів,<br>освіта вища,<br>народний депутат України,<br>проживає в місті Донецьку",http://itd.rada.gov.ua/mps/info/expage/5520/7,http://static.rada.gov.ua/dep_img6/reg23.jpg,reg23,2,27.11.1953,Вища
11138,9615,mp-kpu7_skl6,6,Бевз Валерій Ананійович,Валерій,Ананійович,Бевз,В.А.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Комуністична партія України /№ у списку - 7/",5,Комуністична партія України,7,"член Комуністичної партії України,<br>освіта вища,<br>заступник Міністра України з питань надзвичайних ситуацій та у справах захисту населення від наслідків Чорнобильської катастрофи,<br>проживає в селі Агрономічне Вінницького району Вінницької області",http://itd.rada.gov.ua/mps/info/expage/11138/7,http://static.rada.gov.ua/dep_img6/kpu7.jpg,kpu7,1,27.01.1953,Вища
8720,9309,mp-reg60_skl6,6,Бевзенко Валерій Федорович,Валерій,Федорович,Бевзенко,В.Ф.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 60/",94,Партія регіонів,60,"член Партії регіонів,<br>освіта вища,<br>народний депутат України V  скликання,<br>проживає в місті Донецьку",http://itd.rada.gov.ua/mps/info/expage/8720/7,http://static.rada.gov.ua/dep_img6/reg60.jpg,reg60,1,20.05.1946,Вища
2210,9250,mp-bvl16_skl6,6,Белоусова Ірина Анатоліївна,Ірина,Анатоліївна,Белоусова,І.А.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, ""Блок Литвина"" (Народна Партія, Трудова партія України) /№ у списку - 16/",185,"""Блок Литвина"" (Народна Партія, Трудова партія України)",16,"член Трудової партії України,<br>освіта вища,<br>доцент кафедри бухгалтерського обліку і контролю Житомирського державного технологічного університету,<br>проживає в місті Києві",http://itd.rada.gov.ua/mps/info/expage/2210/7,http://static.rada.gov.ua/dep_img6/bvl16.jpg,bvl16,2,10.07.1954,Вища
11099,9467,mp-reg151_skl6,6,Бережна Ірина Григоріївна,Ірина,Григоріївна,Бережна,І.Г.,23.11.2007,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Партія регіонів /№ у списку - 151/",94,Партія регіонів,151,"безпартійна ,<br>освіта вища,<br>приватний нотаріус,<br> проживає в місті Києві",http://itd.rada.gov.ua/mps/info/expage/11099/7,http://static.rada.gov.ua/dep_img6/reg151.jpg,reg151,2,13.08.1980,Вища
14393,9721,mp-but178_skl6,6,Березкін Станіслав Семенович,Станіслав,Семенович,Березкін,С.С.,15.02.2011,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, ""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об’єднання ""Батьківщина"", Українська соціал-демократична партія , партія  ""Реформи і порядок"" /№ у списку - 178/",183,"""Блок Юлії Тимошенко"" – Виборчий блок політичних партій ""Всеукраїнське об'єднання ""Батьківщина"", Українська соціал-демократична партія, партія ""Реформи і порядок""",178,"безпартійний,<br>освіта вища,<br>голова Наглядової ради Промислової групи ""Креатив"",<br>проживає в місті Кіровограді",http://itd.rada.gov.ua/mps/info/expage/14393/7,http://static.rada.gov.ua/dep_img6/but178.jpg,but178,1,12.05.1959,Вища
12642,9672,mp-nuns81_skl6,6,Бобильов Олександр Фадійович,Олександр,Фадійович,Бобильов,О.Ф.,25.12.2008,12.12.2012,"Багатомандатний загальнодержавний виборчий округ, Блок ""НАША УКРАЇНА – НАРОДНА САМООБОРОНА"": Народний Союз ""Наша Україна"", Політична партія ""Вперед, Україно!"", Народний Рух України, Українська Народна Партія, Українська республіканська партія ""Собор"" , Партія Християнсько-Демократичний Союз, Європейська партія України, Громадянська партія ""ПОРА"", Партія захисників Вітчизни /№ у списку - 81/",184,"Блок ""НАША УКРАЇНА – НАРОДНА САМООБОРОНА"": Народний Союз ""Наша Україна"", Політична партія ""Вперед, Україно!"", Народний Рух України, Українська Народна Партія, Українська республіканська партія ""Собор"", Партія Християнсько-Демократичний Союз, Європейська партія України, Громадянська партія ""ПОРА"", Партія захисників Вітчизни",81,"безпартійний ,<br>освіта вища,<br>у розпорядженні Міністерства внутрішніх справ України на посаді начальника управління МВС України,<br> проживає в  місті Дніпропетровську",http://itd.rada.gov.ua/mps/info/expage/12642/7,http://static.rada.gov.ua/dep_img6/nuns81.jpg,nuns81,1,25.09.1963,Вища
