id,nreg,convocation,full_name,first_name,second_name,last_name,short_name,other_name,date_begin,date_end,district_text,district_name,district_num,region_name,party_text,party_id,party_name,anketa_data,anketa_url,photo,photo_id,gender,birthday,nationality,education,academic,old_profession,old_post,old_member,awards_text,resignation_text
20302,mp-d208_1_skl2,2,Бакай Ігор Михайлович,Ігор,Михайлович,Бакай,І.М.,,15.05.1996,12.05.1998,"Бориспільський виборчий округ № 208, Київська область",Бориспільський виборчий округ № 208,208,Київська область,Безпартійний,0,Самовисування,"Облікова картка\nБориспільський (Київська обл.) виборчий округ N 208\nПрізвище, ім'я, по батькові: Бакай Ігор Михайлович\nЧисло, місяць і рік народження: 17.11.63\nНаціональність: українець\nОсвіта: середня спеціальна\nПрофесія: технік лісу\nПосада (заняття), місце роботи: президент корпорації ""Республіка"" (місто Київ)\nЧи є членом політичної партії: ні\nВчений ступінь, звання: не має\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=20302,http://static.rada.gov.ua/arhiv/DEPPHO2/D208_1.JPG,d208_1,1,17.11.1963,українець,середня спеціальна,не має,технік лісу,"президент корпорації ""Республіка"" (місто Київ)",ні,,
38302,mp-d390_skl2,2,Бандурка Олександр Маркович,Олександр,Маркович,Бандурка,О.М.,,11.05.1994,12.05.1998,"Дергачівський виборчий округ № 390, Харківська область",Дергачівський виборчий округ № 390,390,Харківська область,Безпартійний,0,Самовисування,"Облікова картка\nДергачівський (Харківська обл.) виборчий округ N 390\nПрізвище, ім'я, по батькові: Бандурка Олександр Маркович\nЧисло, місяць і рік народження: 24.04.37\nНаціональність: українець\nОсвіта: вища\nПрофесія: юрист, економіст\nПосада (заняття), місце роботи: начальник Управління внутрішніх справ Харківської області\nЧи є членом політичної партії: ні\nВчений ступінь, звання: кандидат юридичних наук, академік Академії інженерних наук\nЧи обирався раніше депутатом до Верховної Ради України: так",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=38302,http://static.rada.gov.ua/arhiv/DEPPHO2/D390.JPG,d390,1,24.04.1937,українець,вища,"кандидат юридичних наук, академік Академії інженерних наук","юрист, економіст",начальник Управління внутрішніх справ Харківської області,так,,
21002,mp-d216_skl2,2,Бардин Ярослав Богданович,Ярослав,Богданович,Бардин,Я.Б.,,07.07.1994,12.05.1998,"Вишгородський виборчий округ № 216, Київська область",Вишгородський виборчий округ № 216,216,Київська область,Безпартійний,0,Самовисування,"Облікова картка\nВишгородський (Київська обл.) виборчий округ N 216\nПрізвище, ім'я, по батькові: Бардин Ярослав Богданович\nЧисло, місяць і рік народження: 17.04.58\nНаціональність: українець\nОсвіта: вища\nПрофесія: вчений агроном\nПосада (заняття), місце роботи: віце-президент агротехнологічного спільного підприємства ""Укратек""\nЧи є членом політичної партії: ні\nВчений ступінь, звання: кандидат біологічних наук\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=21002,http://static.rada.gov.ua/arhiv/DEPPHO2/D216.JPG,d216,1,17.04.1958,українець,вища,кандидат біологічних наук,вчений агроном,"віце-президент агротехнологічного спільного підприємства ""Укратек""",ні,,
21402,mp-d220_skl2,2,Безсмертний Роман Петрович,Роман,Петрович,Безсмертний,Р.П.,,11.05.1994,12.05.1998,"Макарівський виборчий округ № 220, Київська область",Макарівський виборчий округ № 220,220,Київська область,Українська Республіканська партія,9,Українська Республіканська партія,"Облікова картка\nМакарівський (Київська обл.) виборчий округ N 220\nПрізвище, ім'я, по батькові: Безсмертний Роман Петрович\nЧисло, місяць і рік народження: 15.11.65\nНаціональність: українець\nОсвіта: вища\nПрофесія: учитель\nПосада (заняття), місце роботи: вчитель історії Бородянської середньої школи N2 Бородянського району Київської області\nЧи є членом політичної партії: Українська республіканська партія\nВчений ступінь, звання: не має\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=21402,http://static.rada.gov.ua/arhiv/DEPPHO2/D220.JPG,d220,1,15.11.1965,українець,вища,не має,учитель,вчитель історії Бородянської середньої школи N2 Бородянського району Київської області,ні,,
39102,mp-d398_skl2,2,Безуглий Анатолій Григорович,Анатолій,Григорович,Безуглий,А.Г.,,11.05.1994,12.05.1998,"Новокаховський виборчий округ № 398, Херсонська область",Новокаховський виборчий округ № 398,398,Херсонська область,Комуністична партія України,5,Комуністична партія України,"Облікова картка\nНовокаховський (Херсонська обл.) виборчий округ N 398\nПрізвище, ім'я, по батькові: Безуглий Анатолій Григорович\nЧисло, місяць і рік народження: 05.05.36\nНаціональність: українець\nОсвіта: вища\nПрофесія: учитель\nПосада (заняття), місце роботи: учитель географії середньої школи N6 міста Каховки\nЧи є членом політичної партії: Комуністична партія України\nВчений ступінь, звання: не має\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=39102,http://static.rada.gov.ua/arhiv/DEPPHO2/D398.JPG,d398,1,05.05.1936,українець,вища,не має,учитель,учитель географії середньої школи N6 міста Каховки,ні,,
38402,mp-d391_skl2,2,Бережний Олексій Тимофійович,Олексій,Тимофійович,Бережний,О.Т.,,11.05.1994,12.05.1998,"Зміївський виборчий округ № 391, Харківська область",Зміївський виборчий округ № 391,391,Харківська область,Безпартійний,0,Самовисування,"Облікова картка\nЗміївський (Харківська обл.) виборчий округ N 391\nПрізвище, ім'я, по батькові: Бережний Олексій Тимофійович\nЧисло, місяць і рік народження: 26.02.52\nНаціональність: українець\nОсвіта: вища\nПрофесія: інженер-механік\nПосада (заняття), місце роботи: голова колгоспу імені Леніна Нововодолазького району Харківської області\nЧи є членом політичної партії: ні\nВчений ступінь, звання: не має\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=38402,http://static.rada.gov.ua/arhiv/DEPPHO2/D391.JPG,d391,1,26.02.1952,українець,вища,не має,інженер-механік,голова колгоспу імені Леніна Нововодолазького району Харківської області,ні,,
18502,mp-d189_skl2,2,Бєльський Вячеслав Іванович,Вячеслав,Іванович,Бєльський,В.І.,,11.05.1994,12.05.1998,"Василівський виборчий округ № 189, Запорізька область",Василівський виборчий округ № 189,189,Запорізька область,Комуністична партія України,5,Комуністична партія України,"Облікова картка\nВасилівський (Запорізька обл.) виборчий округ N 189\nПрізвище, ім'я, по батькові: Бєльський Вячеслав Іванович\nЧисло, місяць і рік народження: 04.05.54\nНаціональність: українець\nОсвіта: вища\nПрофесія: вчений агроном\nПосада (заняття), місце роботи: голова колгоспу ""Україна"" Василівського району Запорізької області\nЧи є членом політичної партії: Комуністична партія України\nВчений ступінь, звання: не має\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=18502,http://static.rada.gov.ua/arhiv/DEPPHO2/D189.JPG,d189,1,04.05.1954,українець,вища,не має,вчений агроном,"голова колгоспу ""Україна"" Василівського району Запорізької області",ні,,
37502,mp-d382_skl2,2,Биченко Микола Іванович,Микола,Іванович,Биченко,М.І.,,11.05.1994,12.05.1998,"Лозівський виборчий округ № 382, Харківська область",Лозівський виборчий округ № 382,382,Харківська область,Комуністична партія України,5,Комуністична партія України,"Облікова картка\nЛозівський (Харківська обл.) виборчий округ N 382\nПрізвище, ім'я, по батькові: Биченко Микола Іванович\nЧисло, місяць і рік народження: 02.07.53\nНаціональність: українець\nОсвіта: вища\nПрофесія: інженер-механік\nПосада (заняття), місце роботи: голова колективного сільськогосподарського підприємства ім.Леніна Близнюківського району Харківської області\nЧи є членом політичної партії: Комуністична партія України\nВчений ступінь, звання: не має\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=37502,http://static.rada.gov.ua/arhiv/DEPPHO2/D382.JPG,d382,1,02.07.1953,українець,вища,не має,інженер-механік,голова колективного сільськогосподарського підприємства ім.Леніна Близнюківського району Харківської області,ні,,
27202,mp-d278_skl2,2,Білас Іван Григорович,Іван,Григорович,Білас,І.Г.,,11.05.1994,12.05.1998,"Мостиський виборчий округ № 278, Львівська область",Мостиський виборчий округ № 278,278,Львівська область,Безпартійний,0,Самовисування,"Облікова картка\nМостиський (Львівська обл.) виборчий округ N 278\nПрізвище, ім'я, по батькові: Білас Іван Григорович\nЧисло, місяць і рік народження: 09.05.53\nНаціональність: українець\nОсвіта: вища\nПрофесія: юрист\nПосада (заняття), місце роботи: докторант Українська Академія внутрішніх справ, перший заступник головного редактора журналу ""Військо України""\nЧи є членом політичної партії: ні\nВчений ступінь, звання: доктор юридичних наук\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=27202,http://static.rada.gov.ua/arhiv/DEPPHO2/D278.JPG,d278,1,09.05.1953,українець,вища,доктор юридичних наук,юрист,"докторант Українська Академія внутрішніх справ, перший заступник головного редактора журналу ""Військо України""",ні,,
31102,mp-d317_skl2,2,Білоус Вячеслав Олександрович,Вячеслав,Олександрович,Білоус,В.О.,,11.05.1994,12.05.1998,"Київський виборчий округ № 317, Полтавська область",Київський виборчий округ № 317,317,Полтавська область,Безпартійний,0,Самовисування,"Облікова картка\nКиївський (Полтавська обл.) виборчий округ N 317\nПрізвище, ім'я, по батькові: Білоус Вячеслав Олександрович\nЧисло, місяць і рік народження: 15.10.53\nНаціональність: українець\nОсвіта: вища\nПрофесія: військовослужбовець\nПосада (заняття), місце роботи: уповноважений Комітету з питань соціального захисту військовослужбовців при Кабінеті Міністрів України по Полтавській області\nЧи є членом політичної партії: ні\nВчений ступінь, звання: не має\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=31102,http://static.rada.gov.ua/arhiv/DEPPHO2/D317.JPG,d317,1,15.10.1953,українець,вища,не має,військовослужбовець,уповноважений Комітету з питань соціального захисту військовослужбовців при Кабінеті Міністрів України по Полтавській області,ні,,
4202,mp-d43_skl2,2,Бобриньов Олександр Васильович,Олександр,Васильович,Бобриньов,О.В.,,11.05.1994,12.05.1998,"Балаклавський виборчий округ № 43, м. Севастополь",Балаклавський виборчий округ № 43,43,м. Севастополь,Комуністична Партія України,5,Комуністична партія України,"Облікова картка\nБалаклавський (м. Севастополь) виборчий округ N 043\nПрізвище, ім'я, по батькові: Бобриньов Олександр Васильович\nЧисло, місяць і рік народження: 18.08.51\nПрофесія: юрист\nПосада (заняття), місце роботи: старший інспектор Балаклавської податкової інспекції міста Севастополя\nЧи є членом політичної партії: Комуністична Партія України",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=4202,http://static.rada.gov.ua/arhiv/DEPPHO2/D43.JPG,d43,1,18.08.1951,,,,юрист,старший інспектор Балаклавської податкової інспекції міста Севастополя,,,
44802,mp-d312_skl2,2,Боделан Руслан Борисович,Руслан,Борисович,Боделан,Р.Б.,,11.05.1994,06.02.1997,"Кілійський виборчий округ № 312, Одеська область",Кілійський виборчий округ № 312,312,Одеська область,Безпартійний,0,Самовисування,"(ВИБУВ згідно рішення суду 05.02.97)\nОблікова картка\nКілійський (Одеська обл.) виборчий округ N 312\nПрізвище, ім'я, по батькові: Боделан Руслан Борисович\nЧисло, місяць і рік народження: 04.04.42\nНаціональність: українець\nОсвіта: вища\nПрофесія: учитель\nПосада (заняття), місце роботи: голова Одеської обласної Ради народних депутатів\nЧи є членом політичної партії: ні\nВчений ступінь, звання: не має\nЧи обирався раніше депутатом до Верховної Ради України: так",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=44802,http://static.rada.gov.ua/arhiv/DEPPHO2/D312.JPG,d312,1,04.02.1942,українець,вища,не має,учитель,голова Одеської обласної Ради народних депутатів,так,,ВИБУВ згідно рішення суду 05.02.97
27902,mp-d285_skl2,2,Боженко Олег Віталійович,Олег,Віталійович,Боженко,О.В.,,11.05.1994,12.05.1998,"Ленінський виборчий округ № 285, Миколаївська область",Ленінський виборчий округ № 285,285,Миколаївська область,Комуністична партія України,5,Комуністична партія України,"Облікова картка\nЛенінський (Миколаївська обл.) виборчий округ N 285\nПрізвище, ім'я, по батькові: Боженко Олег Віталійович\nЧисло, місяць і рік народження: 12.06.63\nНаціональність: росіянин\nОсвіта: вища\nПрофесія: учитель\nПосада (заняття), місце роботи: голова Миколаївської обласної спілка молоді\nЧи є членом політичної партії: Комуністична партія України\nВчений ступінь, звання: не має\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=27902,http://static.rada.gov.ua/arhiv/DEPPHO2/D285.JPG,d285,1,12.06.1963,росіянин,вища,не має,учитель,голова Миколаївської обласної спілка молоді,ні,,
44902,mp-d360_skl2,2,Бойко Богдан Федорович,Богдан,Федорович,Бойко,Б.Ф.,,11.05.1994,06.02.1997,"Гусятинський виборчий округ № 360, Тернопільська область",Гусятинський виборчий округ № 360,360,Тернопільська область,Безпартійний,0,Самовисування,"(ВИБУВ згідно рішення суду 05.02.97)\nОблікова картка\nГусятинський (Тернопільська обл.) виборчий округ N 360\nПрізвище, ім'я, по батькові: Бойко Богдан Федорович\nЧисло, місяць і рік народження: 29.09.54\nНаціональність: українець\nОсвіта: вища\nПрофесія: економіст\nПосада (заняття), місце роботи: голова Тернопільської обласної Ради народних депутатів\nЧи є членом політичної партії: ні\nВчений ступінь, звання: кандидат економічних наук\nЧи обирався раніше депутатом до Верховної Ради України: так",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=44902,http://static.rada.gov.ua/arhiv/DEPPHO2/D360.JPG,d360,1,29.09.1954,українець,вища,кандидат економічних наук,економіст,голова Тернопільської обласної Ради народних депутатів,так,,ВИБУВ згідно рішення суду 05.02.97
11002,mp-d112_skl2,2,Болдирєв Юрій Олександрович,Юрій,Олександрович,Болдирєв,Ю.О.,,11.05.1994,12.05.1998,"Кіровський Шахтарський виборчий округ № 112, Донецька область",Кіровський Шахтарський виборчий округ № 112,112,Донецька область,Громадянський Конгрес України,19,Громадянський Конгрес України,"Облікова картка\nКіровський Шахтарський (Донецька обл.) виборчий округ N 112\nПрізвище, ім'я, по батькові: Болдирєв Юрій Олександрович\nЧисло, місяць і рік народження: 16.02.51\nНаціональність: росіянин\nОсвіта: вища\nПрофесія: викладач\nПосада (заняття), місце роботи: заступник голови виконавчого комітету Донецької міської Ради народних депутатів\nЧи є членом політичної партії: Громадянський конгрес України\nВчений ступінь, звання: не має\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=11002,http://static.rada.gov.ua/arhiv/DEPPHO2/D112.JPG,d112,1,16.02.1951,росіянин,вища,не має,викладач,заступник голови виконавчого комітету Донецької міської Ради народних депутатів,ні,,
24602,mp-d252_skl2,2,Бондаренко Віктор Степанович,Віктор,Степанович,Бондаренко,В.С.,,11.05.1994,12.05.1998,"Антрацитівський сільський виборчий округ № 252, Луганська область",Антрацитівський сільський виборчий округ № 252,252,Луганська область,Безпартійний,0,Самовисування,"Облікова картка\nАнтрацитівський сільський (Луганська обл.) виборчий округ N 252\nПрізвище, ім'я, по батькові: Бондаренко Віктор Степанович\nЧисло, місяць і рік народження: 26.08.43\nНаціональність: українець\nОсвіта: вища\nПрофесія: інженер, хімік-технолог\nПосада (заняття), місце роботи: генеральний директор об'єднання ім.Петровського міста Петровського\nЧи є членом політичної партії: ні\nВчений ступінь, звання: не має\nЧи обирався раніше депутатом до Верховної Ради України: так",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=24602,http://static.rada.gov.ua/arhiv/DEPPHO2/D252.JPG,d252,1,26.03.1943,українець,вища,не має,"інженер, хімік-технолог",генеральний директор об'єднання ім.Петровського міста Петровського,так,,
802,mp-d8_skl2,2,Бондаренко Володимир Дмитрович,Володимир,Дмитрович,Бондаренко,В.Д.,,07.04.1996,12.05.1998,"Ленінградський виборчий округ № 8, м. Київ",Ленінградський виборчий округ № 8,8,м. Київ,Безпартійний,0,Самовисування,"Облікова картка\nЛенінградський (м. Київ) виборчий округ N 008\nПрізвище, ім'я, по батькові: Бондаренко Володимир Дмитрович\nЧисло, місяць і рік народження: 04.12.52\nНаціональність: українець\nОсвіта: вища\nПрофесія: викладач історії та суспільствознавства\nПосада (заняття), місце роботи: член координаційної ради громадського об'єднання ""Вибір""\nЧи є членом політичної партії: ні\nВчений ступінь, звання: не має\nЧи обирався раніше депутатом до Верховної Ради України: ні",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=802,http://static.rada.gov.ua/arhiv/DEPPHO2/D8.JPG,d8,1,04.12.1952,українець,вища,не має,викладач історії та суспільствознавства,"член координаційної ради громадського об'єднання ""Вибір""",ні,,
