id,nreg,convocation,full_name,first_name,second_name,last_name,short_name,date_begin,date_end,district_text,district_name,district_num,region_name,party_text,party_id,party_name,num_in_party,anketa_data,anketa_url,photo,photo_id,gender,birthday,nationality,education,old_profession,old_post,posts_text,post_name,department_name,factions_text,resignation_text
691103,mp-d442_1_skl3,3,Андреічев Олег Анатолійович,Олег,Анатолійович,Андреічев,О.А.,29.02.2000,14.05.2002,"Багатомандатний загальнодержавний виборчий округ, Соціал-демократична партія України (об'єднана) /№ у списку - 19/",Багатомандатний загальнодержавний виборчий округ,0,,Соціал-демократична партія України (об'єднана),53,Соціал-демократична партія України (об'єднана),19,"Багатомандатний виборчий округ, Соціал-демократична партія України (об'єднана)\nПрізвище, ім'я, по батькові: Андреічев Олег Анатолійович\nДата народження: 1953\nПартійність (на момент виборів): Соціал-демократична партія України (об'єднана)\nОсвіта: вища\nСпеціальність: інженер-гідроакустик\nПопереднє місце роботи: генеральний директор спільного українсько-російського підприємства ""ІСА""\nКомітет: Комітет з питань свободи слова та інформації\nПосада в комітеті: Член Комітету\nФракція: Фракція Соціал-демократичної партії України (об'єднаної)",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=691103,http://static.rada.gov.ua/arhiv/DEPPHO3/D442_1.JPG,d442_1,1,1953,,вища,інженер-гідроакустик,"генеральний директор спільного українсько-російського підприємства ""ІСА""",Член Комітету з питань свободи слова та інформації,Член Комітету,Комітет з питань свободи слова та інформації,Фракція Соціал-демократичної партії України (об'єднаної),
212403,mp-d445_skl3,3,Андресюк Борис Павлович,Борис,Павлович,Андресюк,Б.П.,12.05.1998,14.05.2002,"Багатомандатний загальнодержавний виборчий округ, Соціал-демократична партія України (об'єднана) /№ у списку - 12/",Багатомандатний загальнодержавний виборчий округ,0,,Безпартійний,53,Соціал-демократична партія України (об'єднана),12,"Багатомандатний загальнодержавний виборчий округ, СДПУ (о)\nПрізвище, ім'я, по батькові: Андресюк Борис Павлович\nДата народження: 19/02/56\nПартійність (на момент виборів): Позапартійний\nОсвіта: вища\nСпеціальність: інженер-будівельник\nПопереднє місце роботи: Голова Старокиївської райради, голова державної адміністрації\nКомітет: Комітет з питань національної безпеки і оборони\nПосада в комітеті: Голова Комітету\nФракція: Фракція Соціал-демократичної партії України (об'єднаної)",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=212403,http://static.rada.gov.ua/arhiv/DEPPHO3/D445.JPG,d445,1,19.02.1956,,вища,інженер-будівельник,"Голова Старокиївської райради, голова державної адміністрації",Голова Комітету з питань національної безпеки і оборони,Голова Комітету,Комітет з питань національної безпеки і оборони,Фракція Соціал-демократичної партії України (об'єднаної),
31803,mp-d240_skl3,3,Аніщук Володимир Васильович,Володимир,Васильович,Аніщук,В.В.,12.05.1998,14.05.2002,"Багатомандатний загальнодержавний виборчий округ, Комуністична партія України /№ у списку - 17/",Багатомандатний загальнодержавний виборчий округ,0,,Комуністична партія України,5,Комуністична партія України,17,"Багатомандатний загальнодержавний виборчий округ, КПУ\nПрізвище, ім'я, по батькові: Аніщук Володимир Васильович\nДата народження: 09/12/43\nНаціональність: росіянин\nПартійність (на момент виборів): Комуністична партія України\nОсвіта: вища\nСпеціальність: вчитель історії і суспільствознавства\nПопереднє місце роботи: Професор інституту соціальних наук Одеського держуніверситету\nКомітет: Комітет з питань правової політики\nПосада в комітеті: Член Комітету\nФракція: Фракція Комуністичної партії України",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=31803,http://static.rada.gov.ua/arhiv/DEPPHO3/D240.JPG,d240,1,09.12.1943,росіянин,вища,вчитель історії і суспільствознавства,Професор інституту соціальних наук Одеського держуніверситету,Член Комітету з питань правової політики,Член Комітету,Комітет з питань правової політики,Фракція Комуністичної партії України,
32803,mp-d250_skl3,3,Аннєнков Єгор Іванович,Єгор,Іванович,Аннєнков,Є.І.,12.05.1998,14.05.2002,"Багатомандатний загальнодержавний виборчий округ, Комуністична партія України /№ у списку - 27/",Багатомандатний загальнодержавний виборчий округ,0,,Комуністична партія України,5,Комуністична партія України,27,"Багатомандатний загальнодержавний виборчий округ, КПУ\nПрізвище, ім'я, по батькові: Аннєнков Єгор Іванович\nДата народження: 03/05/41\nНаціональність: росіянин\nПартійність (на момент виборів): Комуністична партія України\nОсвіта: вища\nСпеціальність: агроном-організатор\nПопереднє місце роботи: Народний депутат України 13-го скликання\nКомітет: Комітет з питань Регламенту, депутатської етики та організації роботи Верховної Ради України\nПосада в комітеті: Член Комітету\nФракція: Фракція Комуністичної партії України",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=32803,http://static.rada.gov.ua/arhiv/DEPPHO3/D250.JPG,d250,1,03.05.1941,росіянин,вища,агроном-організатор,Народний депутат України 13-го скликання,"Член Комітету з питань Регламенту, депутатської етики та організації роботи Верховної Ради України",Член Комітету,"Комітет з питань Регламенту, депутатської етики та організації роботи Верховної Ради України",Фракція Комуністичної партії України,
404503,mp-d98_skl3,3,Антоньєва Ганна Петрівна,Ганна,Петрівна,Антоньєва,Г.П.,12.05.1998,14.05.2002,"Виборчий округ № 98, Кіровоградська область",Виборчий округ № 98,98,Кіровоградська область,Безпартійний,0,Самовисування,,"Виборчий округ N 98\nПрізвище, ім'я, по батькові: Антоньєва Ганна Петрівна\nДата народження: 29/08/61\nПартійність (на момент виборів): Позапартійний\nОсвіта: вища\nСпеціальність: вчитель історії та суспільствознавства\nПопереднє місце роботи: Генеральний директор ВО ""Артеміда"", директор ЗАТ ""Любава""\nКомітет: Комітет з питань державного будівництва та місцевого самоврядування\nПосада в комітеті: Член Комітету\nФракція: Фракція партії ""Демократичний союз""",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=404503,http://static.rada.gov.ua/arhiv/DEPPHO3/D98.JPG,d98,2,29.08.1961,,вища,вчитель історії та суспільствознавства,"Генеральний директор ВО ""Артеміда"", директор ЗАТ ""Любава""",Член Комітету з питань державного будівництва та місцевого самоврядування,Член Комітету,Комітет з питань державного будівництва та місцевого самоврядування,"Фракція партії ""Демократичний союз""",
237503,mp-d79_skl3,3,Арабаджи Володимир Васильович,Володимир,Васильович,Арабаджи,В.В.,12.05.1998,14.05.2002,"Виборчий округ № 79, Запорізька область",Виборчий округ № 79,79,Запорізька область,Аграрна партія України,37,Аграрна партія України,,"Виборчий округ N 79\nПрізвище, ім'я, по батькові: Арабаджи Володимир Васильович\nДата народження: 04/04/50\nНаціональність: грек\nПартійність (на момент виборів): Аграрна партія України\nОсвіта: вища\nСпеціальність: зооінженер\nПопереднє місце роботи: Голова правління КСП ""Нива""\nКомітет: Комітет з питань соціальної політики та праці\nПосада в комітеті: Член Комітету\nФракція: Фракція партії ""Солідарність""",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=237503,http://static.rada.gov.ua/arhiv/DEPPHO3/D79.JPG,d79,1,04.04.1950,грек,вища,зооінженер,"Голова правління КСП ""Нива""",Член Комітету з питань соціальної політики та праці,Член Комітету,Комітет з питань соціальної політики та праці,"Фракція партії ""Солідарність""",
56303,mp-d337_skl3,3,Асадчев Валерій Михайлович,Валерій,Михайлович,Асадчев,В.М.,12.05.1998,14.05.2002,"Багатомандатний загальнодержавний виборчий округ, Народний Рух України /№ у списку - 37/",Багатомандатний загальнодержавний виборчий округ,0,,Народний Рух України,1,Народний Рух України,37,"Багатомандатний загальнодержавний виборчий округ, НРУ\nПрізвище, ім'я, по батькові: Асадчев Валерій Михайлович\nДата народження: 14/07/53\nПартійність (на момент виборів): Народний Рух України\nОсвіта: вища\nСпеціальність: інженер-технолог\nПопереднє місце роботи: Голова Московськї районої державної адміністрації міста Києва,\nГолова Московської районної ради міста Києва\nКомітет: Комітет з питань бюджету\nПосада в комітеті: Член Комітету\nФракція: Фракція Українського Народного Руху",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=56303,http://static.rada.gov.ua/arhiv/DEPPHO3/D337.JPG,d337,1,14.07.1953,,вища,інженер-технолог,"Голова Московськї районої державної адміністрації міста Києва,",Член Комітету з питань бюджету,Член Комітету,Комітет з питань бюджету,Фракція Українського Народного Руху,
20303,mp-d218_skl3,3,Бабич Валерій Георгійович,Валерій,Георгійович,Бабич,В.Г.,12.05.1998,14.05.2002,"Виборчий округ № 218, м. Київ",Виборчий округ № 218,218,м. Київ,Християнсько-демократична партія України,0,Самовисування,,"Виборчий округ N 218\nПрізвище, ім'я, по батькові: Бабич Валерій Георгійович\nДата народження: 25/08/53\nПартійність (на момент виборів): Християнсько - демократична партія України\nОсвіта: вища\nСпеціальність: економіст\nПопереднє місце роботи: Народний депутат України 13-го скликання\nКомітет: Не входить до складу комітетів\nФракція: Фракція партії ""Єдність""",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=20303,http://static.rada.gov.ua/arhiv/DEPPHO3/D218.JPG,d218,1,25.08.1953,,вища,економіст,Народний депутат України 13-го скликання,,,Не входить до складу комітетів,"Фракція партії ""Єдність""",
462603,mp-d75_skl3,3,Бабурін Олексій Васильович,Олексій,Васильович,Бабурін,О.В.,12.05.1998,14.05.2002,"Виборчий округ № 75, Запорізька область",Виборчий округ № 75,75,Запорізька область,Комуністична партія України,5,Комуністична партія України,,"Виборчий округ N 75\nПрізвище, ім'я, по батькові: Бабурін Олексій Васильович\nДата народження: 11/01/49\nПартійність (на момент виборів): Комуністична партія України\nОсвіта: вища\nСпеціальність: інженер-хімік\nПопереднє місце роботи: Начальник управління ВАТ ""АвтоЗАЗ""\nКомітет: Комітет у закордонних справах\nПосада в комітеті: Член Комітету\nФракція: Фракція Комуністичної партії України",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=462603,http://static.rada.gov.ua/arhiv/DEPPHO3/D75.JPG,d75,1,11.01.1949,,вища,інженер-хімік,"Начальник управління ВАТ ""АвтоЗАЗ""",Член Комітету у закордонних справах,Член Комітету,Комітет у закордонних справах,Фракція Комуністичної партії України,
703203,mp-d64_1_skl3,3,Бакай Ігор Михайлович,Ігор,Михайлович,Бакай,І.М.,06.07.2000,14.05.2002,"Виборчий округ № 64, Житомирська область",Виборчий округ № 64,64,Житомирська область,"Партія ""Демократичний Союз""",93,"Партія ""Демократичний Союз""",,"Виборчий округ N 64\nПрізвище, ім'я, по батькові: Бакай Ігор Михайлович\nДата народження: 1963\nПартійність (на момент виборів): Партія ""Демократичний Союз""\nОсвіта: вища\nСпеціальність: юрист\nКомітет: Не входить до складу комітетів\nФракція: Фракція партії ""Демократичний союз""",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=703203,http://static.rada.gov.ua/arhiv/DEPPHO3/D64_1.JPG,d64_1,1,17.11.1963,,вища,юрист,тимчасово не працює,,,Не входить до складу комітетів,"Фракція партії ""Демократичний союз""",
137703,mp-d27_skl3,3,Балашов Геннадій Вікторович,Геннадій,Вікторович,Балашов,Г.В.,12.05.1998,14.05.2002,"Виборчий округ № 27, Дніпропетровська область",Виборчий округ № 27,27,Дніпропетровська область,"Партiя ""Міжрегіональний блок реформ""",0,Самовисування,,"Виборчий округ N 27\nПрізвище, ім'я, по батькові: Балашов Геннадій Вікторович\nДата народження: 20/02/61\nНаціональність: росіянин\nПартійність (на момент виборів): Партiя ""Міжрегіональний блок реформ""\nОсвіта: вища\nСпеціальність: економіст\nПопереднє місце роботи: Начальник Управління політики Дніпропетровського міськвиконкому\nКомітет: Комітет з питань фінансів і банківської діяльності\nПосада в комітеті: Член Комітету\nФракція: Фракція ""Яблуко""",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=137703,http://static.rada.gov.ua/arhiv/DEPPHO3/D27.JPG,d27,1,20.02.1961,росіянин,вища,економіст,Начальник Управління політики Дніпропетровського міськвиконкому,Член Комітету з питань фінансів і банківської діяльності,Член Комітету,Комітет з питань фінансів і банківської діяльності,"Фракція ""Яблуко""",
565703,mp-d175_skl3,3,Бандурка Олександр Маркович,Олександр,Маркович,Бандурка,О.М.,12.05.1998,14.05.2002,"Виборчий округ № 175, Харківська область",Виборчий округ № 175,175,Харківська область,Безпартійний,56,Народно-демократична партія,,"Виборчий округ N 175\nПрізвище, ім'я, по батькові: Бандурка Олександр Маркович\nДата народження: 24/04/37\nПартійність (на момент виборів): Позапартійний\nОсвіта: вища\nСпеціальність: бухгалтер, юрист\nПопереднє місце роботи: Народний депутат України 13-го скликання\nКомітет: Комітет з питань законодавчого забезпечення правоохоронної діяльності\nПосада в комітеті: Член Комітету\nФракція: Фракція Народно Демократичної партії",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=565703,http://static.rada.gov.ua/arhiv/DEPPHO3/D175.JPG,d175,1,24.04.1937,,вища,"бухгалтер, юрист",Народний депутат України 13-го скликання,Член Комітету з питань законодавчого забезпечення правоохоронної діяльності,Член Комітету,Комітет з питань законодавчого забезпечення правоохоронної діяльності,Фракція Народно-демократичної партії,
2103,mp-d358_skl3,3,Баранчик Іван Іванович,Іван,Іванович,Баранчик,І.І.,12.05.1998,14.05.2002,"Багатомандатний загальнодержавний виборчий округ, Виборчий блок Соціалістичної партії України та Селянської партії України ""За правду, за народ, за Україну!"" /№ у списку - 21/",Багатомандатний загальнодержавний виборчий округ,0,,Селянська партія України,55,"Виборчий блок Соціалістичної партії України та Селянської партії України ""За правду, за народ, за Україну""",21,"Багатомандатний загальнодержавний виборчий округ, ВБ СПУ та СелПУ\nПрізвище, ім'я, по батькові: Баранчик Іван Іванович\nДата народження: 01/02/51\nНаціональність: українець\nПартійність (на момент виборів): Селянська партія України\nОсвіта: вища\nСпеціальність: вчений-агроном\nПопереднє місце роботи: Голова КСП ім.Горького\nКомітет: Комітет у закордонних справах\nПосада в комітеті: Член Комітету\nФракція: Не входять до складу фракцій",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=2103,http://static.rada.gov.ua/arhiv/DEPPHO3/D358.JPG,d358,1,01.02.1951,українець,вища,вчений-агроном,Голова КСП ім.Горького,Член Комітету у закордонних справах,Член Комітету,Комітет у закордонних справах,Не входить до складу фракцій,
385303,mp-d76_skl3,3,Баулін Павло Борисович,Павло,Борисович,Баулін,П.Б.,12.05.1998,14.05.2002,"Виборчий округ № 76, Запорізька область",Виборчий округ № 76,76,Запорізька область,Безпартійний,5,Комуністична партія України,,"Виборчий округ N 76\nПрізвище, ім'я, по батькові: Баулін Павло Борисович\nДата народження: 23/11/48\nПартійність (на момент виборів): Позапартійний\nОсвіта: вища\nСпеціальність: інженер-механік\nПопереднє місце роботи: Кореспондент газети ""Наш город""\nКомітет: Комітет з питань свободи слова та інформації\nПосада в комітеті: Член Комітету\nФракція: Фракція Комуністичної партії України",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=385303,http://static.rada.gov.ua/arhiv/DEPPHO3/D76.JPG,d76,1,23.11.1948,,вища,інженер-механік,"Кореспондент газети ""Наш город""",Член Комітету з питань свободи слова та інформації,Член Комітету,Комітет з питань свободи слова та інформації,Фракція Комуністичної партії України,
119003,mp-d397_skl3,3,Безсмертний Роман Петрович,Роман,Петрович,Безсмертний,Р.П.,12.05.1998,14.05.2002,"Багатомандатний загальнодержавний виборчий округ, Народно-демократична партія /№ у списку - 11/",Багатомандатний загальнодержавний виборчий округ,0,,Народно-демократична партія,56,Народно-демократична партія,11,"Багатомандатний загальнодержавний виборчий округ, НДП\nПрізвище, ім'я, по батькові: Безсмертний Роман Петрович\nДата народження: 15/11/65\nНаціональність: українець\nПартійність (на момент виборів): Народно - демократична партія\nОсвіта: вища\nСпеціальність: викладач історії\nПопереднє місце роботи: Народний депутат України 13-го скликання, постійний представник Президента України у Верховній Раді України\nКомітет: Комітет з питань державного будівництва та місцевого самоврядування\nПосада в комітеті: Член Комітету\nФракція: Фракція партії""Реформи і порядок""-Реформи-конгрес",http://w1.c1.rada.gov.ua/pls/radan_gs09/d_ank_arh?kod=119003,http://static.rada.gov.ua/arhiv/DEPPHO3/D397.JPG,d397,1,15.11.1965,українець,вища,викладач історії,"Народний депутат України 13-го скликання, постійний представник Президента України у Верховній Раді України",Член Комітету з питань державного будівництва та місцевого самоврядування,Член Комітету,Комітет з питань державного будівництва та місцевого самоврядування,"Фракція партії'Реформи і порядок""-Реформи-конгрес",
