id,rada_id,nreg,convocation,full_name,first_name,second_name,last_name,short_name,date_begin,date_end,district_text,district_name,district_num,region_id,region_name,party_text,party_id,party_name,num_in_party,anketa_data,anketa_url,photo,photo_id,gender,birthday,education,college,academic,old_profession,old_post,old_member,address,resignation_text
2524,372,mp-but11_skl9,9,Абдуллін Олександр Рафкатович,Олександр,Рафкатович,Абдуллін,О.Р.,29.08.2019,,"Багатомандатний загальнодержавний виборчий округ, політична партія Всеукраїнське об'єднання ""Батьківщина"" /№ у списку - 11/",,,,,"політична партія Всеукраїнське об'єднання ""Батьківщина""",17,"Політична партія Всеукраїнське об'єднання ""Батьківщина""",11,"народився 29 червня 1962&#160;року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в місті Києві, судимість відсутня, включений до виборчого списку під № 11.",http://itd.rada.gov.ua/mps/info/page/2524,http://static.rada.gov.ua/dep_img9/but11.jpg,but11,1,29.06.1962,вища,,,народний депутат України,народний депутат України,так,в місті Києві,
20964,338,mp-op14_skl9,9,Абрамович Ігор Олександрович,Ігор,Олександрович,Абрамович,І.О.,29.08.2019,,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА - ЗА ЖИТТЯ"" /№ у списку - 14/",,,,,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА - ЗА ЖИТТЯ""",227,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА - ЗА ЖИТТЯ""",14,"народився 24 серпня 1984&#160;року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Києві, судимість відсутня, включений до виборчого списку під № 14.",http://itd.rada.gov.ua/mps/info/page/20964,http://static.rada.gov.ua/dep_img9/op14.jpg,op14,1,24.08.1984,вища,,,тимчасово не працює,тимчасово не працює,ні,в місті Києві,
20965,131,mp-d154_1_skl9,9,Аліксійчук Олександр Васильович,Олександр,Васильович,Аліксійчук,О.В.,29.08.2019,,"Виборчий округ № 154, Рівненська область",Виборчий округ № 154,154,56,Рівненська область,безпартійний,50,Безпартійний,,"народився 6 березня 1981&#160;року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Рівному, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",http://itd.rada.gov.ua/mps/info/page/20965,http://static.rada.gov.ua/dep_img9/d154_1.jpg,d154_1,1,06.03.1981,вища,,,фізична особа – підприємець,фізична особа – підприємець,ні,в місті Рівному,
17993,405,mp-es20_skl9,9,Алєксєєв Сергій Олегович,Сергій,Олегович,Алєксєєв,С.О.,29.08.2019,,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""Європейська Солідарність"" /№ у списку - 20/",,,,,"Політична партія ""Європейська Солідарність""",228,"Політична партія ""Європейська Солідарність""",20,"народився 9 лютого 1977&#160;року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член Політичної партії ""Європейська Солідарність"", проживає в місті Києві, судимість відсутня, включений до виборчого списку під № 20.",http://itd.rada.gov.ua/mps/info/page/17993,http://static.rada.gov.ua/dep_img9/es20.jpg,es20,1,09.02.1977,вища,,,народний депутат України,народний депутат України,так,в місті Києві,
20966,312,mp-sn116_skl9,9,Аллахвердієва Ірина Валеріївна,Ірина,Валеріївна,Аллахвердієва,І.В.,29.08.2019,,"Багатомандатний загальнодержавний виборчий округ, ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"" /№ у списку - 116/",,,,,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",50,Безпартійний,116,"народилася 26 серпня 1978&#160;року, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, директор, Миколаївська обласна дирекція ПрАТ СК ""Уніка"", безпартійнa, проживає в місті Миколаєві, судимість відсутня, включена до виборчого списку під № 116.",http://itd.rada.gov.ua/mps/info/page/20966,http://static.rada.gov.ua/dep_img9/sn116.jpg,sn116,2,26.08.1978,вища,,,директор,"Миколаївська обласна дирекція ПрАТ СК ""Уніка""",ні,в місті Миколаєві,
20967,233,mp-sn34_skl9,9,Ананченко Михайло Олегович,Михайло,Олегович,Ананченко,М.О.,29.08.2019,,"Багатомандатний загальнодержавний виборчий округ, ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"" /№ у списку - 34/",,,,,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",226,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",34,"народився 17 листопада 1994&#160;року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, помічник міського голови, виконавчий комітет Сумської міської ради, член ПОЛІТИЧНОЇ ПАРТІЇ ""СЛУГА НАРОДУ"", проживає в місті Сумах, судимість відсутня, включений до виборчого списку під № 34.",http://itd.rada.gov.ua/mps/info/page/20967,http://static.rada.gov.ua/dep_img9/sn34.jpg,sn34,1,17.11.1994,вища,,,помічник міського голови,виконавчий комітет Сумської міської ради,ні,в місті Сумах,
20968,69,mp-d87_1_skl9,9,Андрійович Зіновій Мирославович,Зіновій,Мирославович,Андрійович,З.М.,29.08.2019,,"Виборчий округ № 87, Івано-Франківська область",Виборчий округ № 87,87,26,Івано-Франківська область,безпартійний,50,Безпартійний,,"народився 10 сiчня 1972&#160;року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Надвірнянський міський голова, безпартійний, проживає в місті Надвірна Надвірнянського району Івано-Франківської області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",http://itd.rada.gov.ua/mps/info/page/20968,http://static.rada.gov.ua/dep_img9/d87_1.jpg,d87_1,1,10.01.1972,вища,,,Надвірнянський міський голова,Надвірнянський міський голова,ні,в місті Надвірна Надвірнянського району Івано-Франківської області,
11118,402,mp-es17_skl9,9,Ар'єв Володимир Ігорович,Володимир,Ігорович,Ар'єв,В.І.,29.08.2019,,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""Європейська Солідарність"" /№ у списку - 17/",,,,,"Політична партія ""Європейська Солідарність""",228,"Політична партія ""Європейська Солідарність""",17,"народився 31 березня 1975&#160;року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член Політичної партії ""Європейська Солідарність"", проживає в місті Києві, судимість відсутня, включений до виборчого списку під № 17.",http://itd.rada.gov.ua/mps/info/page/11118,http://static.rada.gov.ua/dep_img9/es17.jpg,es17,1,31.03.1975,вища,,,народний депутат України,народний депутат України,так,в місті Києві,
20970,241,mp-sn42_skl9,9,Арістов Юрій Юрійович,Юрій,Юрійович,Арістов,Ю.Ю.,29.08.2019,,"Багатомандатний загальнодержавний виборчий округ, ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"" /№ у списку - 42/",,,,,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",50,Безпартійний,42,"народився 1 липня 1975&#160;року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, ТОВ ""АТЛАНТІК-ЮММА"", безпартійний, проживає в місті Києві, судимість відсутня, включений до виборчого списку під № 42.",http://itd.rada.gov.ua/mps/info/page/20970,http://static.rada.gov.ua/dep_img9/sn42.jpg,sn42,1,01.07.1975,вища,,,генеральний директор,"ТОВ ""АТЛАНТІК-ЮММА""",ні,в місті Києві,
20969,204,mp-sn4_skl9,9,Арахамія Давид Георгійович,Давид,Георгійович,Арахамія,Д.Г.,29.08.2019,,"Багатомандатний загальнодержавний виборчий округ, ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"" /№ у списку - 4/",,,,,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",50,Безпартійний,4,"народився 23 травня 1979&#160;року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Миколаєві, судимість відсутня, включений до виборчого списку під № 4.",http://itd.rada.gov.ua/mps/info/page/20969,http://static.rada.gov.ua/dep_img9/sn4.jpg,sn4,1,23.05.1979,вища,,,фізична особа – підприємець,фізична особа – підприємець,ні,в місті Миколаєві,
18058,46,mp-d64_1_skl9,9,Арешонков Володимир Юрійович,Володимир,Юрійович,Арешонков,В.Ю.,29.08.2019,,"Виборчий округ № 64, Житомирська область",Виборчий округ № 64,64,18,Житомирська область,безпартійний,50,Безпартійний,,"народився 17 грудня 1957&#160;року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Коростень Житомирської області, судимість відсутня, самовисування.",http://itd.rada.gov.ua/mps/info/page/18058,http://static.rada.gov.ua/dep_img9/d64_1.jpg,d64_1,1,17.12.1957,вища,,,народний депутат України,народний депутат України,так,в місті Коростень Житомирської області,
20971,172,mp-d195_1_skl9,9,Арсенюк Олег Олексійович,Олег,Олексійович,Арсенюк,О.О.,29.08.2019,,"Виборчий округ № 195, Черкаська область",Виборчий округ № 195,195,71,Черкаська область,безпартійний,50,Безпартійний,,"народився 21 серпня 1986&#160;року в місті Черкасах, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, комерційний директор, ТОВ ""Берег-2007"", безпартійний, проживає в місті Черкасах, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",http://itd.rada.gov.ua/mps/info/page/20971,http://static.rada.gov.ua/dep_img9/d195_1.jpg,d195_1,1,21.08.1986,вища,,,комерційний директор,"ТОВ ""Берег-2007""",ні,в місті Черкасах,
20982,6,mp-d15_1_skl9,9,Білозір Лариса Миколаївна,Лариса,Миколаївна,Білозір,Л.М.,29.08.2019,,"Виборчий округ № 15, Вінницька область",Виборчий округ № 15,15,5,Вінницька область,безпартійнa,50,Безпартійний,,"народилася 24 вересня 1981&#160;року, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, виконавчий директор, громадська організація ""Життя та розвиток громад"", безпартійнa, проживає в місті Києві, судимість відсутня, самовисування.",http://itd.rada.gov.ua/mps/info/page/20982,http://static.rada.gov.ua/dep_img9/d15_1.jpg,d15_1,2,24.09.1981,вища,,,виконавчий директор,"громадська організація ""Життя та розвиток громад""",ні,в місті Києві,
15684,378,mp-but17_skl9,9,Бєлькова Ольга Валентинівна,Ольга,Валентинівна,Бєлькова,О.В.,29.08.2019,,"Багатомандатний загальнодержавний виборчий округ, політична партія Всеукраїнське об'єднання ""Батьківщина"" /№ у списку - 17/",,,,,"політична партія Всеукраїнське об'єднання ""Батьківщина""",50,Безпартійний,17,"народилася 16 червня 1975&#160;року, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійнa, проживає в місті Києві, судимість відсутня, включена до виборчого списку під № 17.",http://itd.rada.gov.ua/mps/info/page/15684,http://static.rada.gov.ua/dep_img9/but17.jpg,but17,2,16.06.1975,вища,,,народний депутат України,народний депутат України,так,в місті Києві,
20975,247,mp-sn48_skl9,9,Бабій Роман Вячеславович,Роман,Вячеславович,Бабій,Р.В.,29.08.2019,,"Багатомандатний загальнодержавний виборчий округ, ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"" /№ у списку - 48/",,,,,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",50,Безпартійний,48,"народився 6 липня 1977&#160;року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Гельд-Енергія"", безпартійний, проживає в місті Бровари Броварського району Київської області, судимість відсутня, включений до виборчого списку під № 48.",http://itd.rada.gov.ua/mps/info/page/20975,http://static.rada.gov.ua/dep_img9/sn48.jpg,sn48,1,06.07.1977,вища,,,директор,"ТОВ ""Гельд-Енергія""",ні,в місті Бровари Броварського району Київської області,
20972,211,mp-sn11_skl9,9,Бабак Сергій Віталійович,Сергій,Віталійович,Бабак,С.В.,29.08.2019,,"Багатомандатний загальнодержавний виборчий округ, ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"" /№ у списку - 11/",,,,,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",50,Безпартійний,11,"народився 31 липня 1978&#160;року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора, державна наукова установа ""Центр морської геології, геоекології та осадового рудоутворення НАН України"", безпартійний, проживає в місті Києві, судимість відсутня, включений до виборчого списку під № 11.",http://itd.rada.gov.ua/mps/info/page/20972,http://static.rada.gov.ua/dep_img9/sn11.jpg,sn11,1,31.07.1978,вища,,,заступник директора,"державна наукова установа ""Центр морської геології, геоекології та осадового рудоутворення НАН України""",ні,в місті Києві,
20974,72,mp-d90_1_skl9,9,Бабенко Микола Вікторович,Микола,Вікторович,Бабенко,М.В.,29.08.2019,,"Виборчий округ № 90, Київська область",Виборчий округ № 90,90,32,Київська область,безпартійний,50,Безпартійний,,"народився 17 вересня 1980&#160;року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""Центр залучення інвестицій ""БЦ Інвест"", безпартійний, проживає в місті Біла Церква Київської області, судимість відсутня, суб’єкт висування – Політична Партія ""Біла Церква разом"".",http://itd.rada.gov.ua/mps/info/page/20974,http://static.rada.gov.ua/dep_img9/d90_1.jpg,d90_1,1,17.09.1980,вища,,,директор,"ТОВ ""Центр залучення інвестицій ""БЦ Інвест""",ні,в місті Біла Церква Київської області,
20976,150,mp-d173_1_skl9,9,Бакумов Олександр Сергійович,Олександр,Сергійович,Бакумов,О.С.,29.08.2019,,"Виборчий округ № 173, Харківська область",Виборчий округ № 173,173,63,Харківська область,безпартійний,50,Безпартійний,,"народився 25 квiтня 1989&#160;року в місті Харкові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, проректор, Харківський національний університет внутрішніх справ, безпартійний, проживає в місті Харкові, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",http://itd.rada.gov.ua/mps/info/page/20976,http://static.rada.gov.ua/dep_img9/d173_1.jpg,d173_1,1,25.04.1989,вища,,,проректор,Харківський національний університет внутрішніх справ,ні,в місті Харкові,
20977,99,mp-d122_1_skl9,9,Бакунець Павло Андрійович,Павло,Андрійович,Бакунець,П.А.,29.08.2019,,"Виборчий округ № 122, Львівська область",Виборчий округ № 122,122,46,Львівська область,безпартійний,50,Безпартійний,,"народився 10 липня 1987&#160;року в місті Яворів Львівської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Яворівський міський голова, безпартійний, проживає в місті Яворів Яворівського району Львівської області, судимість відсутня, суб’єкт висування – Політична партія ""Об’єднання ""САМОПОМІЧ"".",http://itd.rada.gov.ua/mps/info/page/20977,http://static.rada.gov.ua/dep_img9/d122_1.jpg,d122_1,1,10.07.1987,вища,,,Яворівський міський голова,Яворівський міський голова,ні,в місті Яворів Яворівського району Львівської області,
5566,51,mp-d69_1_skl9,9,Балога Віктор Іванович,Віктор,Іванович,Балога,В.І.,29.08.2019,,"Виборчий округ № 69, Закарпатська область",Виборчий округ № 69,69,21,Закарпатська область,член політичної партії Єдиний Центр,192,Політична партія Єдиний Центр,,"народився 15 червня 1963&#160;року в селі Завидово Мукачівського району Закарпатської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член політичної партії Єдиний Центр, проживає в місті Мукачево Закарпатської області, судимість відсутня, суб’єкт висування – політична партія Єдиний Центр.",http://itd.rada.gov.ua/mps/info/page/5566,http://static.rada.gov.ua/dep_img9/d69_1.jpg,d69_1,1,15.06.1963,вища,,,народний депутат України,народний депутат України,так,в місті Мукачево Закарпатської області,
19958,261,mp-sn62_skl9,9,Бардіна Марина Олегівна,Марина,Олегівна,Бардіна,М.О.,29.08.2019,,"Багатомандатний загальнодержавний виборчий округ, ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"" /№ у списку - 62/",,,,,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",50,Безпартійний,62,"народилася 17 грудня 1992&#160;року, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, помічник народного депутата України, безпартійнa, проживає в місті Києві, судимість відсутня, включена до виборчого списку під № 62.",http://itd.rada.gov.ua/mps/info/page/19958,http://static.rada.gov.ua/dep_img9/sn62.jpg,sn62,2,17.12.1992,вища,,,помічник народного депутата України,помічник народного депутата України,ні,в місті Києві,
18063,100,mp-d123_1_skl9,9,Батенко Тарас Іванович,Тарас,Іванович,Батенко,Т.І.,29.08.2019,,"Виборчий округ № 123, Львівська область",Виборчий округ № 123,123,46,Львівська область,"член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",224,"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ'ЄДНАННЯ ПАТРІОТІВ – УКРОП""",,"народився 20 червня 1974&#160;року в місті Львові, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"", проживає в місті Львові, судимість відсутня, самовисування.",http://itd.rada.gov.ua/mps/info/page/18063,http://static.rada.gov.ua/dep_img9/d123_1.jpg,d123_1,1,20.06.1974,вища,,,народний депутат України,народний депутат України,так,в місті Львові,
20978,275,mp-sn77_skl9,9,Безгін Віталій Юрійович,Віталій,Юрійович,Безгін,В.Ю.,29.08.2019,,"Багатомандатний загальнодержавний виборчий округ, ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"" /№ у списку - 77/",,,,,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",50,Безпартійний,77,"народився 18 квiтня 1990&#160;року, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, експерт з комунікацій та дизайну, Офіс ефективного регулювання, безпартійний, проживає в місті Києві, судимість відсутня, включений до виборчого списку під № 77.",http://itd.rada.gov.ua/mps/info/page/20978,http://static.rada.gov.ua/dep_img9/sn77.jpg,sn77,1,18.04.1990,вища,,,експерт з комунікацій та дизайну,Офіс ефективного регулювання,ні,в місті Києві,
20979,194,mp-d217_1_skl9,9,Безугла Мар'яна Володимирівна,Мар'яна,Володимирівна,Безугла,М.В.,29.08.2019,,"Виборчий округ № 217, м. Київ",Виборчий округ № 217,217,85,м. Київ,безпартійнa,50,Безпартійний,,"народилася 17 травня 1988&#160;року в місті Києві, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, старший інспектор з контролю за виконанням доручень відділу цивільних експертів, Центр забезпечення службової діяльності Міністерства оборони України та Генерального штабу Збройних Сил України, безпартійнa, проживає в місті Києві, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".",http://itd.rada.gov.ua/mps/info/page/20979,http://static.rada.gov.ua/dep_img9/d217_1.jpg,d217_1,2,17.05.1988,вища,,,старший інспектор з контролю за виконанням доручень відділу цивільних експертів,Центр забезпечення службової діяльності Міністерства оборони України та Генерального штабу Збройних Сил України,ні,в місті Києві,
