id,rada_id,nreg,convocation,full_name,first_name,second_name,last_name,short_name,date_begin,date_end,district_text,district_name,district_num,region_name,party_text,party_id,party_name,num_in_party,anketa_data,anketa_url,photo,photo_id,gender,birthday,education,resignation_text
15733,12,mp-d21_1_skl8,8,Івахів Степан Петрович,Степан,Петрович,Івахів,С.П.,27.11.2014,29.08.2019,"Виборчий округ № 21, Волинська область",Виборчий округ № 21,21,Волинська область,,0,Самовисування,,"освіта вища,<br>народний депутат України,<br>безпартійний,<br>проживає в селі Липини Луцького району Волинської області,<br>судимість відсутня,<br>самовисування.",http://itd.rada.gov.ua/mps/info/expage/15733/9,http://static.rada.gov.ua/dep_img8/d21_1.jpg,d21_1,1,24.01.1968,Вища,
18055,375,mp-but6_skl8,8,Івченко Вадим Євгенович,Вадим,Євгенович,Івченко,В.Є.,27.11.2014,29.08.2019,"Багатомандатний загальнодержавний виборчий округ, політична партія Всеукраїнське об'єднання ""Батьківщина"" /№ у списку - 6/",,,,"політична партія Всеукраїнське об'єднання ""Батьківщина""",17,"Політична партія Всеукраїнське об'єднання ""Батьківщина""",6,"освіта вища,<br>заступник голови – керівник виконавчої дирекції,<br>Всеукраїнська асоціація сільських та селищних рад,<br>безпартійний,<br>проживає в місті Біла Церква Київської області,<br>судимість відсутня,<br>включений до виборчого списку під № 6.",http://itd.rada.gov.ua/mps/info/expage/18055/9,http://static.rada.gov.ua/dep_img8/but6.jpg,but6,1,29.01.1980,Вища,
15837,173,mp-d215_1_skl8,8,Іллєнко Андрій Юрійович,Андрій,Юрійович,Іллєнко,А.Ю.,27.11.2014,29.08.2019,"Виборчий округ № 215, м. Київ",Виборчий округ № 215,215,м. Київ,,-542,"\tПолітична партія Всеукраїнське об'єднання ""Свобода""",,"освіта вища,<br>народний депутат України,<br>член політичної партії Всеукраїнське об’єднання ""Свобода"",<br>проживає в місті Києві,<br>судимість відсутня,<br>суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".",http://itd.rada.gov.ua/mps/info/expage/15837/9,http://static.rada.gov.ua/dep_img8/d215_1.jpg,d215_1,1,24.06.1987,Вища,
15794,93,mp-d128_1_skl8,8,Ільюк Артем Олександрович,Артем,Олександрович,Ільюк,А.О.,27.11.2014,29.08.2019,"Виборчий округ № 128, Миколаївська область",Виборчий округ № 128,128,Миколаївська область,,0,Самовисування,,"освіта вища,<br>народний депутат України,<br>безпартійний,<br>проживає в місті Миколаєві,<br>судимість відсутня,<br>самовисування.",http://itd.rada.gov.ua/mps/info/expage/15794/9,http://static.rada.gov.ua/dep_img8/d128_1.jpg,d128_1,1,17.04.1979,Вища,
15672,261,mp-bp23_skl8,8,Іонова Марія Миколаївна,Марія,Миколаївна,Іонова,М.М.,27.11.2014,29.08.2019,"Багатомандатний загальнодержавний виборчий округ, ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"" /№ у списку - 23/",,,,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",210,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",23,"освіта вища,<br>народний депутат України,<br>безпартійнa,<br>проживає в місті Києві,<br>судимість відсутня,<br>включена до виборчого списку під № 23.",http://itd.rada.gov.ua/mps/info/expage/15672/9,http://static.rada.gov.ua/dep_img8/bp23.jpg,bp23,2,31.05.1978,Вища,
793,80,mp-d112_1_skl8,8,Іоффе Юлій Якович,Юлій,Якович,Іоффе,Ю.Я.,27.11.2014,29.08.2019,"Виборчий округ № 112, Луганська область",Виборчий округ № 112,112,Луганська область,,0,Самовисування,,"освіта вища,<br>народний депутат України,<br>безпартійний,<br>проживає в місті Києві,<br>судимість відсутня,<br>самовисування.",http://itd.rada.gov.ua/mps/info/expage/793/9,http://static.rada.gov.ua/dep_img8/d112_1.jpg,d112_1,1,10.12.1940,Вища,
18092,111,mp-d148_1_skl8,8,Іщейкін Костянтин Євгенович,Костянтин,Євгенович,Іщейкін,К.Є.,27.11.2014,29.08.2019,"Виборчий округ № 148, Полтавська область",Виборчий округ № 148,148,Полтавська область,,210,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",,"освіта вища,<br>декан факультету,<br>завідувач кафедри внутрішніх хвороб та медицини невідкладних станів з дерматологією та венерологією,<br>ВДНЗ України ""Українська медична стоматологічна академія"",<br>безпартійний,<br>проживає в місті Полтаві,<br>судимість відсутня,<br>суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".",http://itd.rada.gov.ua/mps/info/expage/18092/9,http://static.rada.gov.ua/dep_img8/d148_1.jpg,d148_1,1,11.09.1975,Вища,
15685,272,mp-bp37_skl8,8,Іщенко Валерій Олександрович,Валерій,Олександрович,Іщенко,В.О.,27.11.2014,29.08.2019,"Багатомандатний загальнодержавний виборчий округ, ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"" /№ у списку - 37/",,,,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",210,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",37,"освіта вища,<br>народний депутат України,<br>безпартійний,<br>проживає в місті Києві,<br>судимість відсутня,<br>включений до виборчого списку під № 37.",http://itd.rada.gov.ua/mps/info/expage/15685/9,http://static.rada.gov.ua/dep_img8/bp37.jpg,bp37,1,11.11.1973,Вища,
2524,386,mp-but17_skl8,8,Абдуллін Олександр Рафкатович,Олександр,Рафкатович,Абдуллін,О.Р.,27.11.2014,29.08.2019,"Багатомандатний загальнодержавний виборчий округ, політична партія Всеукраїнське об'єднання ""Батьківщина"" /№ у списку - 17/",,,,"політична партія Всеукраїнське об'єднання ""Батьківщина""",17,"Політична партія Всеукраїнське об'єднання ""Батьківщина""",17,"освіта вища,<br>народний депутат України,<br>член політичної партії Всеукраїнське об’єднання ""Батьківщина"",<br>проживає в місті Києві,<br>судимість відсутня,<br>включений до виборчого списку під № 17.",http://itd.rada.gov.ua/mps/info/expage/2524/9,http://static.rada.gov.ua/dep_img8/but17.jpg,but17,1,29.06.1962,Вища,
15650,187,mp-nf6_skl8,8,Аваков Арсен Борисович,Арсен,Борисович,Аваков,А.Б.,27.11.2014,02.12.2014,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""НАРОДНИЙ ФРОНТ"" /№ у списку - 6/",,,,"Політична партія ""НАРОДНИЙ ФРОНТ""",211,"Політична партія ""НАРОДНИЙ ФРОНТ""",6,"освіта вища,<br>Міністр внутрішніх справ України,<br>безпартійний,<br>проживає в місті Харкові,<br>судимість відсутня,<br>включений до виборчого списку під № 6.",http://itd.rada.gov.ua/mps/info/expage/15650/9,http://static.rada.gov.ua/dep_img8/nf6.jpg,nf6,1,02.01.1964,Вища,НДУ Особиста письмова заява про складення повноважень
17993,288,mp-bp55_skl8,8,Алєксєєв Сергій Олегович,Сергій,Олегович,Алєксєєв,С.О.,27.11.2014,29.08.2019,"Багатомандатний загальнодержавний виборчий округ, ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"" /№ у списку - 55/",,,,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",210,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",55,"освіта вища,<br>директор,<br>ТОВ ""Юридична колегія ""Алєксєєв,<br>Боярчуков та партнери"",<br>безпартійний,<br>проживає в місті Києві,<br>судимість відсутня,<br>включений до виборчого списку під № 55.",http://itd.rada.gov.ua/mps/info/expage/17993/9,http://static.rada.gov.ua/dep_img8/bp55.jpg,bp55,1,09.02.1977,Вища,
16067,238,mp-nf64_skl8,8,Алексєєв Ігор Сергійович,Ігор,Сергійович,Алексєєв,І.С.,27.11.2014,29.08.2019,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""НАРОДНИЙ ФРОНТ"" /№ у списку - 64/",,,,"Політична партія ""НАРОДНИЙ ФРОНТ""",211,"Політична партія ""НАРОДНИЙ ФРОНТ""",64,"освіта вища,<br>заступник Міністра юстиції України – керівник апарату,<br>член Політичної партії ""НАРОДНИЙ ФРОНТ"",<br>проживає в місті Києві,<br>судимість відсутня,<br>включений до виборчого списку під № 64.",http://itd.rada.gov.ua/mps/info/expage/16067/9,http://static.rada.gov.ua/dep_img8/nf64.jpg,nf64,1,23.04.1986,Вища,
12290,368,mp-rp21_skl8,8,Амельченко Василь Васильович,Василь,Васильович,Амельченко,В.В.,27.11.2014,29.08.2019,"Багатомандатний загальнодержавний виборчий округ, Радикальна Партія Олега Ляшка /№ у списку - 21/",,,,Радикальна Партія Олега Ляшка,206,Радикальна Партія Олега Ляшка,21,"освіта вища,<br>помічник-консультант народного депутата України,<br>член Радикальної Партії Олега Ляшка,<br>проживає в місті Чернігові,<br>судимість відсутня,<br>включений до виборчого списку під № 21.",http://itd.rada.gov.ua/mps/info/expage/12290/9,http://static.rada.gov.ua/dep_img8/rp21.jpg,rp21,1,28.11.1962,Вища,
15839,180,mp-d222_1_skl8,8,Андрієвський Дмитро Йосипович,Дмитро,Йосипович,Андрієвський,Д.Й.,27.11.2014,29.08.2019,"Виборчий округ № 222, м. Київ",Виборчий округ № 222,222,м. Київ,,210,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",,"освіта вища,<br>народний депутат України,<br>безпартійний,<br>проживає в місті Києві,<br>судимість відсутня,<br>суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".",http://itd.rada.gov.ua/mps/info/expage/15839/9,http://static.rada.gov.ua/dep_img8/d222_1.jpg,d222_1,1,06.01.1967,Вища,
17983,274,mp-bp39_skl8,8,Антонищак Андрій Федорович,Андрій,Федорович,Антонищак,А.Ф.,27.11.2014,29.08.2019,"Багатомандатний загальнодержавний виборчий округ, ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"" /№ у списку - 39/",,,,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",210,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",39,"освіта вища,<br>фізична особа – підприємець,<br>безпартійний,<br>проживає в місті Новий Розділ Львівської області,<br>судимість відсутня,<br>включений до виборчого списку під № 39.",http://itd.rada.gov.ua/mps/info/expage/17983/9,http://static.rada.gov.ua/dep_img8/bp39.jpg,bp39,1,23.06.1969,Вища,
11118,176,mp-d218_1_skl8,8,Ар'єв Володимир Ігорович,Володимир,Ігорович,Ар'єв,В.І.,27.11.2014,29.08.2019,"Виборчий округ № 218, м. Київ",Виборчий округ № 218,218,м. Київ,,210,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",,"освіта вища,<br>народний депутат України,<br>член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"",<br>проживає в місті Києві,<br>судимість відсутня,<br>суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".",http://itd.rada.gov.ua/mps/info/expage/11118/9,http://static.rada.gov.ua/dep_img8/d218_1.jpg,d218_1,1,31.03.1975,Вища,
18058,40,mp-d64_1_skl8,8,Арешонков Володимир Юрійович,Володимир,Юрійович,Арешонков,В.Ю.,27.11.2014,29.08.2019,"Виборчий округ № 64, Житомирська область",Виборчий округ № 64,64,Житомирська область,,210,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",,"освіта вища,<br>перший заступник голови,<br>Житомирська обласна рада,<br>член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"",<br>проживає в місті Коростень Житомирської області,<br>судимість відсутня,<br>суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".",http://itd.rada.gov.ua/mps/info/expage/18058/9,http://static.rada.gov.ua/dep_img8/d64_1.jpg,d64_1,1,17.12.1957,Вища,
18049,363,mp-rp16_skl8,8,Артеменко Андрій Вікторович,Андрій,Вікторович,Артеменко,А.В.,27.11.2014,16.05.2017,"Багатомандатний загальнодержавний виборчий округ, Радикальна Партія Олега Ляшка /№ у списку - 16/",,,,Радикальна Партія Олега Ляшка,206,Радикальна Партія Олега Ляшка,16,"освіта вища,<br>заступник генерального директора,<br>ТОВ&#160;""Глобалбізнесгруп ГМБХ"",<br>безпартійний,<br>проживає в місті Києві,<br>судимість відсутня,<br>включений до виборчого списку під № 16.",http://itd.rada.gov.ua/mps/info/expage/18049/9,http://static.rada.gov.ua/dep_img8/rp16.jpg,rp16,1,14.01.1969,Вища,НДУ п.4 частини 2 ст. 81 Конституції України
18059,51,mp-d75_1_skl8,8,Артюшенко Ігор Андрійович,Ігор,Андрійович,Артюшенко,І.А.,27.11.2014,29.08.2019,"Виборчий округ № 75, Запорізька область",Виборчий округ № 75,75,Запорізька область,,210,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",,"освіта вища,<br>головний спеціаліст,<br>благодійна організація ""Центральноєвропейський інститут демократичних реформ"",<br>безпартійний,<br>проживає в місті Запоріжжі,<br>судимість відсутня,<br>суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".",http://itd.rada.gov.ua/mps/info/expage/18059/9,http://static.rada.gov.ua/dep_img8/d75_1.jpg,d75_1,1,21.09.1984,Вища,
5584,164,mp-d206_1_skl8,8,Атрошенко Владислав Анатолійович,Владислав,Анатолійович,Атрошенко,В.А.,27.11.2014,28.01.2016,"Виборчий округ № 206, Чернігівська область",Виборчий округ № 206,206,Чернігівська область,,210,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",,"освіта вища,<br>народний депутат України,<br>член ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"",<br>проживає в місті Чернігові,<br>судимість відсутня,<br>суб’єкт висування – ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"".",http://itd.rada.gov.ua/mps/info/expage/5584/9,http://static.rada.gov.ua/dep_img8/d206_1.jpg,d206_1,1,05.12.1968,Вища,НДУ Особиста письмова заява про складення повноважень
18065,175,mp-d217_1_skl8,8,Білецький Андрій Євгенійович,Андрій,Євгенійович,Білецький,А.Є.,27.11.2014,29.08.2019,"Виборчий округ № 217, м. Київ",Виборчий округ № 217,217,м. Київ,,0,Самовисування,,"освіта вища,<br>командир,<br>полк патрульної служби міліції особливого призначення ""Азов"" ГУ МВС України в Київській області,<br>безпартійний,<br>проживає в місті Харкові,<br>судимість відсутня,<br>самовисування.",http://itd.rada.gov.ua/mps/info/expage/18065/9,http://static.rada.gov.ua/dep_img8/d217_1.jpg,d217_1,1,05.08.1979,Вища,
8723,330,mp-ob5_skl8,8,Білий Олексій Петрович,Олексій,Петрович,Білий,О.П.,27.11.2014,29.08.2019,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""Опозиційний блок"" /№ у списку - 5/",,,,"Політична партія ""Опозиційний блок""",213,"Політична партія ""Опозиційний блок""",5,"освіта вища,<br>народний депутат України,<br>безпартійний,<br>проживає в місті Києві,<br>судимість відсутня,<br>включений до виборчого списку під № 5.",http://itd.rada.gov.ua/mps/info/expage/8723/9,http://static.rada.gov.ua/dep_img8/ob5.jpg,ob5,1,01.05.1961,Вища,
3471,140,mp-d180_1_skl8,8,Біловол Олександр Миколайович,Олександр,Миколайович,Біловол,О.М.,27.11.2014,29.08.2019,"Виборчий округ № 180, Харківська область",Виборчий округ № 180,180,Харківська область,,0,Самовисування,,"освіта вища,<br>народний депутат України,<br>заступник голови Комітету Верховної Ради України з питань охорони здоров’я,<br>безпартійний,<br>проживає в місті Харкові,<br>судимість відсутня,<br>самовисування.",http://itd.rada.gov.ua/mps/info/expage/3471/9,http://static.rada.gov.ua/dep_img8/d180_1.jpg,d180_1,1,11.01.1962,Вища,
5503,470,mp-bp80_skl8,8,Білозір Оксана Володимирівна,Оксана,Володимирівна,Білозір,О.В.,17.05.2016,29.08.2019,"Багатомандатний загальнодержавний виборчий округ, ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"" /№ у списку - 80/",,,,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",210,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",80,"освіта вища,<br>голова,<br>громадська організація ""Всеукраїнське об’єднання жінок-депутатів"",<br>безпартійнa,<br>проживає в місті Києві,<br>судимість відсутня,<br>включена до виборчого списку під № 80.",http://itd.rada.gov.ua/mps/info/expage/5503/9,http://static.rada.gov.ua/dep_img8/bp80.jpg,bp80,2,30.05.1957,Вища,
16340,464,mp-bp76_skl8,8,Білоцерковець Дмитро Олександрович,Дмитро,Олександрович,Білоцерковець,Д.О.,29.03.2016,29.08.2019,"Багатомандатний загальнодержавний виборчий округ, ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"" /№ у списку - 76/",,,,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",210,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",76,"освіта вища,<br>помічник-консультант народного депутата України,<br>безпартійний,<br>проживає в місті Севастополі,<br>судимість відсутня,<br>включений до виборчого списку під № 76.",http://itd.rada.gov.ua/mps/info/expage/16340/9,http://static.rada.gov.ua/dep_img8/bp76.jpg,bp76,1,21.02.1986,Вища,
15684,282,mp-bp47_skl8,8,Бєлькова Ольга Валентинівна,Ольга,Валентинівна,Бєлькова,О.В.,27.11.2014,29.08.2019,"Багатомандатний загальнодержавний виборчий округ, ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА"" /№ у списку - 47/",,,,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",210,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА""",47,"освіта вища,<br>народний депутат України,<br>безпартійнa,<br>проживає в місті Києві,<br>судимість відсутня,<br>включена до виборчого списку під № 47.",http://itd.rada.gov.ua/mps/info/expage/15684/9,http://static.rada.gov.ua/dep_img8/bp47.jpg,bp47,2,16.06.1975,Вища,
18604,437,mp-nf75_skl8,8,Бабій Юрій Юрійович,Юрій,Юрійович,Бабій,Ю.Ю.,27.01.2015,29.08.2019,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""НАРОДНИЙ ФРОНТ"" /№ у списку - 75/",,,,"Політична партія ""НАРОДНИЙ ФРОНТ""",211,"Політична партія ""НАРОДНИЙ ФРОНТ""",75,"освіта вища,<br>голова постійної депутатської комісії з питань бюджету,<br>фінансів,<br>податків та інвестицій,<br>Івано-Франківська обласна рада,<br>член Політичної партії ""НАРОДНИЙ ФРОНТ"",<br>проживає в місті Івано-Франківську,<br>судимість відсутня,<br>включений до виборчого списку під № 75.",http://itd.rada.gov.ua/mps/info/expage/18604/9,http://static.rada.gov.ua/dep_img8/nf75.jpg,nf75,1,18.11.1977,Вища,
18007,303,mp-sp8_skl8,8,Бабак Альона Валеріївна,Альона,Валеріївна,Бабак,А.В.,27.11.2014,29.08.2019,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""Об'єднання ""САМОПОМІЧ"" /№ у списку - 8/",,,,"Політична партія ""Об'єднання ""САМОПОМІЧ""",212,"Політична партія ""Об'єднання ""САМОПОМІЧ""",8,"освіта вища,<br>директор,<br>ТОВ ""Інститут місцевого розвитку"",<br>безпартійнa,<br>проживає в місті Києві,<br>судимість відсутня,<br>включена до виборчого списку під № 8.",http://itd.rada.gov.ua/mps/info/expage/18007/9,http://static.rada.gov.ua/dep_img8/sp8.jpg,sp8,2,27.09.1969,Вища,
4427,213,mp-nf35_skl8,8,Бабенко Валерій Борисович,Валерій,Борисович,Бабенко,В.Б.,27.11.2014,29.08.2019,"Багатомандатний загальнодержавний виборчий округ, Політична партія ""НАРОДНИЙ ФРОНТ"" /№ у списку - 35/",,,,"Політична партія ""НАРОДНИЙ ФРОНТ""",211,"Політична партія ""НАРОДНИЙ ФРОНТ""",35,"освіта вища,<br>керівник Секретаріату Голови Верховної Ради України,<br>член Політичної партії ""НАРОДНИЙ ФРОНТ"",<br>проживає в місті Києві,<br>судимість відсутня,<br>включений до виборчого списку під № 35.",http://itd.rada.gov.ua/mps/info/expage/4427/9,http://static.rada.gov.ua/dep_img8/nf35.jpg,nf35,1,02.02.1964,Вища,
18060,78,mp-d106_1_skl8,8,Бакулін Євген Миколайович,Євген,Миколайович,Бакулін,Є.М.,27.11.2014,29.08.2019,"Виборчий округ № 106, Луганська область",Виборчий округ № 106,106,Луганська область,,-540,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",,"освіта вища,<br>тимчасово не працює,<br>безпартійний,<br>проживає в місті Києві,<br>судимість відсутня,<br>суб’єкт висування – Політична партія ""Опозиційний блок"".",http://itd.rada.gov.ua/mps/info/expage/18060/9,http://static.rada.gov.ua/dep_img8/d106_1.jpg,d106_1,1,26.09.1956,Вища,
